case_id,task_gain,position_weight,drift_weight,regularization_gain,solver_max_iters,use_jacobi_preconditioner,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,mean_inner_residual_norm,mean_inner_iterations,wall_clock_run_s,result_dir,composite_score
tg180_pw8e03_dw0p002_rg1em08_it6_jac1,180.0,8000.0,0.002,1e-08,6,True,ok,0.00020433687622877682,6.176158339720278e-07,4.887914078320115e-07,3.0267413483805963e-06,4.93775,1.7788264000009804,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw8e03_dw0p002_rg1em08_it6_jac1\offline,1.05533457736123
tg180_pw8e03_dw0p001_rg1em08_it6_jac1,180.0,8000.0,0.001,1e-08,6,True,ok,0.000204336795489447,6.176097830427668e-07,4.887946566087454e-07,4.015510458289937e-06,4.86475,1.7584468999993987,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw8e03_dw0p001_rg1em08_it6_jac1\offline,1.092112457547661
tg198_pw8e03_dw0p002_rg1em09_it6_jac1,198.0,8000.0,0.002,1e-09,6,True,ok,0.00020433679572416996,6.083044274055287e-07,6.483899329914193e-07,3.0070479384869595e-06,4.94725,1.7148358999984339,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw8e03_dw0p002_rg1em09_it6_jac1\offline,1.1529403937741112
tg198_pw1e04_dw0p001_rg1em10_it6_jac1,198.0,10000.0,0.001,1e-10,6,True,ok,0.0002043367113678259,6.071098052807605e-07,5.961648777066338e-07,5.232068458953729e-06,4.85275,1.7690886000018509,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1e04_dw0p001_rg1em10_it6_jac1\offline,1.2039337950570468
tg180_pw1e04_dw0p0005_rg1em08_it6_jac1,180.0,10000.0,0.0005,1e-08,6,True,ok,0.00020433675899978046,6.178156664005538e-07,4.895276810983547e-07,8.127936725222214e-06,4.82175,1.734166099999129,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1e04_dw0p0005_rg1em08_it6_jac1\offline,1.252126685643911
tg198_pw1p5e04_dw0p0005_rg1em10_it6_jac1,198.0,15000.0,0.0005,1e-10,6,True,ok,0.000204336677178844,6.098980127305806e-07,4.7307758347502457e-07,1.3096100780308818e-05,4.77625,1.6853031999999075,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1p5e04_dw0p0005_rg1em10_it6_jac1\offline,1.4319117233342658
tg180_pw1e04_dw0p002_rg1em08_it6_jac1,180.0,10000.0,0.002,1e-08,6,True,ok,0.0002043368401540056,6.17635981150896e-07,1.1819269336215532e-06,3.8985206885053506e-06,4.914,1.7692572999985714,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1e04_dw0p002_rg1em08_it6_jac1\offline,1.5283319077952982
tg198_pw1e04_dw0p002_rg1em10_it6_jac1,198.0,10000.0,0.002,1e-10,6,True,ok,0.000204336763072214,6.080286087525476e-07,1.3129554114854313e-06,3.6931377290540685e-06,4.9145,1.6994328000000678,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1e04_dw0p002_rg1em10_it6_jac1\offline,1.6002478142940129
tg180_pw1p5e04_dw0p002_rg1em09_it6_jac1,180.0,15000.0,0.002,1e-09,6,True,ok,0.0002043367999487484,6.176382081807116e-07,1.591979302032071e-06,5.662277131167698e-06,4.88025,1.7862270000005083,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1p5e04_dw0p002_rg1em09_it6_jac1\offline,1.8563818108504315
tg198_pw1p5e04_dw0p002_rg1em08_it6_jac1,198.0,15000.0,0.002,1e-08,6,True,ok,0.0002043367267321544,6.080387376096339e-07,1.7164369288356976e-06,5.717988676864021e-06,4.8685,1.7446272999986832,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1p5e04_dw0p002_rg1em08_it6_jac1\offline,1.9340207441907842
tg180_pw8e03_dw0p002_rg1em10_it6_jac1,180.0,8000.0,0.002,1e-10,6,True,ok,0.00020433687621807786,6.176236414984321e-07,2.0775222768749862e-06,2.9596332630431407e-06,4.9465,1.8084620999979961,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw8e03_dw0p002_rg1em10_it6_jac1\offline,2.0604223943190116
tg198_pw8e03_dw0p001_rg1em10_it6_jac1,198.0,8000.0,0.001,1e-10,6,True,ok,0.00020433672263163235,6.079842793838157e-07,2.1514271602325445e-06,3.989394145638252e-06,4.85525,1.7229322999992291,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw8e03_dw0p001_rg1em10_it6_jac1\offline,2.1420309650198583
tg198_pw1e04_dw0p002_rg1em08_it5_jac1,198.0,10000.0,0.002,1e-08,5,True,ok,0.0002043367630497624,6.081617748889482e-07,2.2518437519427576e-06,3.2054172652155433e-06,4.51075,1.7338670999997703,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1e04_dw0p002_rg1em08_it5_jac1\offline,2.166545724166278
tg180_pw1e04_dw0p001_rg1em10_it6_jac1,180.0,10000.0,0.001,1e-10,6,True,ok,0.00020433678303821983,6.176230995359551e-07,2.175754002724846e-06,5.164725843697617e-06,4.8655,1.7170814999990398,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1e04_dw0p001_rg1em10_it6_jac1\offline,2.20678070344971
tg180_pw1e04_dw0p0005_rg1em09_it6_jac1,180.0,10000.0,0.0005,1e-09,6,True,ok,0.00020433676099632905,6.176200625823243e-07,2.046453612607223e-06,8.496524240914745e-06,4.80175,1.7548749999987194,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1e04_dw0p0005_rg1em09_it6_jac1\offline,2.253269891603937
tg180_pw1e04_dw0p0005_rg1em10_it5_jac1,180.0,10000.0,0.0005,1e-10,5,True,ok,0.00020433676021439342,6.17616887304397e-07,2.1684806572167097e-06,6.816596481871799e-06,4.40575,1.7229746999983035,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1e04_dw0p0005_rg1em10_it5_jac1\offline,2.2551617493025375
tg180_pw8e03_dw0p0005_rg1em09_it6_jac1,180.0,8000.0,0.0005,1e-09,6,True,ok,0.0002043367661220325,6.176226556332655e-07,2.180862786677244e-06,6.42492762670736e-06,4.8015,1.727779400000145,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw8e03_dw0p0005_rg1em09_it6_jac1\offline,2.257620473036316
tg180_pw1e04_dw0p002_rg1em09_it5_jac1,180.0,10000.0,0.002,1e-09,5,True,ok,0.00020433684022711535,6.176171811054288e-07,2.417901509124424e-06,3.292324490768608e-06,4.5035,1.727872200001002,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1e04_dw0p002_rg1em09_it5_jac1\offline,2.2781812707951765
tg198_pw1e04_dw0p0005_rg1em08_it6_jac1,198.0,10000.0,0.0005,1e-08,6,True,ok,0.00020433668970352203,6.086478791929907e-07,2.175708451407813e-06,7.831994075874337e-06,4.81625,1.784613799998624,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1e04_dw0p0005_rg1em08_it6_jac1\offline,2.30669470724513
tg180_pw1e04_dw0p0005_rg1em10_it6_jac1,180.0,10000.0,0.0005,1e-10,6,True,ok,0.00020433675958389546,6.176187974403655e-07,2.139099588885755e-06,8.561111612625183e-06,4.81875,1.7693235000006098,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg180_pw1e04_dw0p0005_rg1em10_it6_jac1\offline,2.3149672148791445
tg198_pw1p5e04_dw0p001_rg1em08_it6_jac1,198.0,15000.0,0.001,1e-08,6,True,ok,0.0002043366986441983,6.076300142578483e-07,2.1759170498053624e-06,8.125844086610272e-06,4.81025,1.8017934000017704,C:\Users\lyx\Desktop\sci\code\project_method3a_pcg_solver\results\tuning_20260421\method3a_pcg\offline_broad_runs\tg198_pw1p5e04_dw0p001_rg1em08_it6_jac1\offline,2.317813666918342
