case_id,task_gain,mu_gain,activation_power,solver_substeps,solver_gamma_gain,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,mean_inner_residual_norm,wall_clock_run_s,result_dir,composite_score
tg200_mu14p0_ap0p90_ns60_gg3840,200.0,14.0,0.9,60,3840.0,ok,0.00019999304107500015,1.0365961932479848e-06,1.9777837967200572e-06,0.004980374306709145,6.069933599999786,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg200_mu14p0_ap0p90_ns60_gg3840\offline,1.14654868970399
tg200_mu14p0_ap0p90_ns60_gg2560,200.0,14.0,0.9,60,2560.0,ok,0.00019858918237076572,1.0871008678083168e-06,2.007349766045816e-06,0.005752906738398687,6.132984399999259,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg200_mu14p0_ap0p90_ns60_gg2560\offline,1.194314944102044
tg160_mu14p0_ap0p90_ns60_gg3840,160.0,14.0,0.9,60,3840.0,ok,0.00019939810750025074,1.1876372693019855e-06,2.200698199226261e-06,0.004964980639409398,6.144100499997876,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg160_mu14p0_ap0p90_ns60_gg3840\offline,1.2137028820104394
tg160_mu14p0_ap0p90_ns60_gg2560,160.0,14.0,0.9,60,2560.0,ok,0.00019759105081257333,1.2466379834640052e-06,2.2909537698932793e-06,0.005791724707760949,5.978179400000954,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg160_mu14p0_ap0p90_ns60_gg2560\offline,1.2756021375343567
tg200_mu14p0_ap0p90_ns40_gg3840,200.0,14.0,0.9,40,3840.0,ok,0.0001988704393929019,1.0488660402030072e-06,2.0784456886145614e-06,0.0077407340198503895,4.5826828999997815,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg200_mu14p0_ap0p90_ns40_gg3840\offline,1.290635763011629
tg200_mu14p0_ap0p90_ns60_gg1280,200.0,14.0,0.9,60,1280.0,ok,0.00019599745941878782,1.1964139575024458e-06,2.230366005649172e-06,0.0072178344959718315,6.0744917999982135,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg200_mu14p0_ap0p90_ns60_gg1280\offline,1.3172112738028652
tg200_mu14p0_ap0p90_ns40_gg2560,200.0,14.0,0.9,40,2560.0,ok,0.00019745185326914882,1.0935684265524787e-06,2.0458066411353087e-06,0.008483402226827145,4.584907099997508,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg200_mu14p0_ap0p90_ns40_gg2560\offline,1.324871105913908
tg120_mu14p0_ap0p90_ns60_gg3840,120.0,14.0,0.9,60,3840.0,ok,0.0001977524172494089,1.4181977759471852e-06,2.6652598252908846e-06,0.004880920823514442,6.219167899998865,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg120_mu14p0_ap0p90_ns60_gg3840\offline,1.3340908997702083
tg160_mu14p0_ap0p90_ns40_gg3840,160.0,14.0,0.9,40,3840.0,ok,0.00019807271054467923,1.196277647485373e-06,2.2357811701477157e-06,0.007627329936869386,4.6372956999985036,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg160_mu14p0_ap0p90_ns40_gg3840\offline,1.3406323094128416
tg200_mu10p0_ap0p90_ns60_gg3840,200.0,10.0,0.9,60,3840.0,ok,0.00020106380540036613,1.024019617269343e-06,3.835951670134835e-06,0.0035604077232484943,6.1276034000002255,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg200_mu10p0_ap0p90_ns60_gg3840\offline,1.4101053502310494
tg160_mu14p0_ap0p90_ns40_gg2560,160.0,14.0,0.9,40,2560.0,ok,0.00019623605964669898,1.2457121961069802e-06,2.33300192293627e-06,0.008734779957265883,4.572125999999116,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg160_mu14p0_ap0p90_ns40_gg2560\offline,1.414648207062511
tg120_mu14p0_ap0p90_ns60_gg2560,120.0,14.0,0.9,60,2560.0,ok,0.00019595614656680338,1.490057174134013e-06,2.9011704411823976e-06,0.005696016954202042,6.102305100001104,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg120_mu14p0_ap0p90_ns60_gg2560\offline,1.4237658943325167
tg160_mu14p0_ap0p90_ns60_gg1280,160.0,14.0,0.9,60,1280.0,ok,0.0001945347262032645,1.376707263932024e-06,2.6968562315484552e-06,0.007216274165097163,6.079167800002324,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg160_mu14p0_ap0p90_ns60_gg1280\offline,1.4322224697794443
