case_id,task_gain,mu_gain,activation_power,solver_substeps,solver_gamma_gain,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,mean_inner_residual_norm,wall_clock_run_s,result_dir,composite_score
tg220_mu12p0_ap0p85_ns80_gg4608,220.0,12.0,0.85,80,4608.0,ok,0.00020153374790687009,9.372381478823738e-07,1.4160100410520114e-06,0.0031964117194512214,5.867280499998742,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu12p0_ap0p85_ns80_gg4608\offline,1.0465469154972262
tg220_mu14p0_ap0p85_ns80_gg4608,220.0,14.0,0.85,80,4608.0,ok,0.00020128138949935176,9.107346047696059e-07,1.443627887848928e-06,0.003685506693624242,5.205677100002504,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu14p0_ap0p85_ns80_gg4608\offline,1.0649840444264234
tg220_mu12p0_ap0p85_ns80_gg3840,220.0,12.0,0.85,80,3840.0,ok,0.0002011219035650127,9.515609036797078e-07,1.4880464924286796e-06,0.0034275782847706594,5.768244200000481,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu12p0_ap0p85_ns80_gg3840\offline,1.0756555576702185
tg220_mu12p0_ap0p85_ns60_gg4608,220.0,12.0,0.85,60,4608.0,ok,0.00020115984881757926,9.401057718850633e-07,1.4045156764955735e-06,0.0043456803235056365,4.899738899999647,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu12p0_ap0p85_ns60_gg4608\offline,1.0863055068238345
tg200_mu12p0_ap0p85_ns80_gg4608,200.0,12.0,0.85,80,4608.0,ok,0.00020133364820847387,9.839228488243385e-07,1.5513604854232742e-06,0.0031799242333203828,5.187226699999883,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg200_mu12p0_ap0p85_ns80_gg4608\offline,1.090116876186513
tg220_mu16p0_ap0p85_ns80_gg4608,220.0,16.0,0.85,80,4608.0,ok,0.00020097098121829942,8.796690976041943e-07,1.5449778334053184e-06,0.004098031209526571,5.757583099999465,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu16p0_ap0p85_ns80_gg4608\offline,1.0977957997878676
tg220_mu14p0_ap0p85_ns80_gg3840,220.0,14.0,0.85,80,3840.0,ok,0.0002006816140125518,9.229800415258106e-07,1.5278999760798366e-06,0.003996656652422171,5.219573399997898,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu14p0_ap0p85_ns80_gg3840\offline,1.0992932376446165
tg220_mu16p0_ap0p90_ns80_gg4608,220.0,16.0,0.9,80,4608.0,ok,0.00020107618385505521,9.5677654169965e-07,1.5183215952712604e-06,0.003850192212467614,5.744487700001628,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu16p0_ap0p90_ns80_gg4608\offline,1.0999999473313318
tg200_mu14p0_ap0p85_ns80_gg4608,200.0,14.0,0.85,80,4608.0,ok,0.00020089643820649097,9.53328006580798e-07,1.6011285529645308e-06,0.003657881437441047,5.212912799997866,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg200_mu14p0_ap0p85_ns80_gg4608\offline,1.1123849815174613
tg220_mu12p0_ap0p85_ns60_gg3840,220.0,12.0,0.85,60,3840.0,ok,0.00020073577399822823,9.54332851522587e-07,1.4705887536904768e-06,0.004585795023454531,4.730928200002381,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu12p0_ap0p85_ns60_gg3840\offline,1.1142160771262768
tg220_mu12p0_ap0p85_ns80_gg3072,220.0,12.0,0.85,80,3072.0,ok,0.00020063798280409685,9.701616916342145e-07,1.5976060416652274e-06,0.003727731952672072,5.443941100002121,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu12p0_ap0p85_ns80_gg3072\offline,1.1175357150377707
tg200_mu12p0_ap0p85_ns80_gg3840,200.0,12.0,0.85,80,3840.0,ok,0.00020095197571167372,9.994937249454485e-07,1.630400126391508e-06,0.0033173686396760355,5.195615900000121,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg200_mu12p0_ap0p85_ns80_gg3840\offline,1.1178373434109516
tg220_mu14p0_ap0p85_ns60_gg4608,220.0,14.0,0.85,60,4608.0,ok,0.00020089009696074356,9.081804417249987e-07,1.511284516472463e-06,0.004894868957319664,5.464653399998497,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu14p0_ap0p85_ns60_gg4608\offline,1.125409351292447
tg220_mu16p0_ap0p90_ns80_gg3840,220.0,16.0,0.9,80,3840.0,ok,0.00020071042556370555,9.7371954325617e-07,1.5543413693513653e-06,0.004312452680316875,5.628297100000054,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg220_mu16p0_ap0p90_ns80_gg3840\offline,1.1293925945465317
tg200_mu12p0_ap0p85_ns60_gg4608,200.0,12.0,0.85,60,4608.0,ok,0.00020093943426586876,9.849018678926173e-07,1.5470870376666864e-06,0.004305960696004467,4.308054599998286,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_refined_runs\tg200_mu12p0_ap0p85_ns60_gg4608\offline,1.1303399274406454
