method,idx,kp,lam,gamma,reg,power,clip,mean_pos,final_pos,drift,solver,score,ok
method2,1,40.0,0.01,1.0,1e-08,0.8,1.0,0.08964927457163173,0.14076916704111325,0.4085686204446764,5.68260795088882,0.10066195095596966,False
method2,2,40.0,0.01,1.0,1e-06,0.9,1.0,0.0896374981917325,0.14073428627810247,0.4084433826527342,5.68111728322976,0.10064692448640207,False
method2,3,40.0,0.01,1.0,0.0001,1.0,1.0,0.08965529696454937,0.14064341539726033,0.40776023371620257,5.676927749381249,0.10064896551356405,False
method2,4,40.0,0.01,2.0,1e-08,0.8,1.0,0.08637478151684493,0.12840996820134346,0.3870524959754248,5.183783219391013,0.09670772304604892,False
method2,5,40.0,0.01,2.0,1e-06,0.9,1.0,0.08637886588904996,0.12834769577398794,0.38670319265733955,5.180952809130224,0.09670340614676186,False
method2,6,40.0,0.01,2.0,0.0001,1.0,1.0,0.08642779599400097,0.1282646649554979,0.3859629019112389,5.177060912122991,0.09673558448828724,False
method2,7,40.0,0.01,5.0,1e-08,0.8,1.0,0.07172374918172332,0.07680980371609661,0.3279837141551859,3.20047767377842,0.07988366230171626,False
method2,8,40.0,0.01,5.0,1e-06,0.9,1.0,0.07208982097045374,0.07729145014890017,0.32797812531036485,3.2190706593885854,0.08025891880635534,False
method2,9,40.0,0.01,5.0,0.0001,1.0,1.0,0.07233522073428456,0.0774496958613985,0.32719330422532783,3.2242989438805982,0.0804912362907314,False
method2,10,40.0,0.01,10.0,1e-08,0.8,1.0,0.04518088563935264,0.07829162169039591,0.4351047733260697,3.1809489712588355,0.05547345559150345,True
method2,11,40.0,0.01,10.0,1e-06,0.9,1.0,0.045475856430714764,0.07799371018947619,0.4331986230407241,3.1720144925894,0.05572583613782395,True
method2,12,40.0,0.01,10.0,0.0001,1.0,1.0,0.04563317568904099,0.07751167705485992,0.4301709312056755,3.148441450383625,0.05581081503834631,True
method2,13,40.0,0.01,20.0,1e-08,0.8,1.0,0.03404391639832906,0.0876575029996357,0.49366818282439673,3.511311472953035,0.045672935791293515,True
method2,14,40.0,0.01,20.0,1e-06,0.9,1.0,0.03408569329829046,0.08818648504617156,0.4969277709736752,3.539469720362991,0.045793983577945466,True
method2,15,40.0,0.01,20.0,0.0001,1.0,1.0,0.03404723887218322,0.08683077293037392,0.4880724062721521,3.4742471162671444,0.04554581055575984,True
method2,16,40.0,0.01,50.0,1e-08,0.8,1.0,0.029624943603358524,0.08278984787918241,0.46859554688586313,3.3207829910972237,0.0406572460366244,True
method2,17,40.0,0.01,50.0,1e-06,0.9,1.0,0.02954374640745944,0.0772577298919915,0.43395467222843187,3.089160052699855,0.03976741987837801,True
method2,18,40.0,0.01,50.0,0.0001,1.0,1.0,0.02826186400670335,0.06926033152537298,0.39284292446083646,3.4773141413259743,0.03785737956658307,True
method2,19,40.0,0.05,1.0,1e-08,0.8,1.0,0.08917995051940483,0.14003848752466985,0.40494642212623466,5.650920600370629,0.10010433926211483,False
method2,20,40.0,0.05,1.0,1e-06,0.9,1.0,0.08916826210411123,0.14000291217061192,0.4048182154105278,5.649407567388539,0.10008933019601605,False
method2,21,40.0,0.05,1.0,0.0001,1.0,1.0,0.08918860750128693,0.13991524017815046,0.4041726637627864,5.645370727281057,0.10009474614018318,False
method2,22,40.0,0.05,2.0,1e-08,0.8,1.0,0.08593238529029108,0.12765140057142335,0.3832999302045512,5.151637855694574,0.0961742028222294,False
method2,23,40.0,0.05,2.0,1e-06,0.9,1.0,0.08591817404098565,0.12756493939620575,0.38279204414704954,5.147855545262606,0.09614794269655794,False
method2,24,40.0,0.05,2.0,0.0001,1.0,1.0,0.08595266826510903,0.12746023744168522,0.38190655748692537,5.143095689726916,0.096162347259711,False
method2,25,40.0,0.05,5.0,1e-08,0.8,1.0,0.07130150210516573,0.07569215517549321,0.3223111926675945,3.155328910395845,0.07932539041371554,False
method2,26,40.0,0.05,5.0,1e-06,0.9,1.0,0.07175029397684858,0.07626333510148867,0.3217505341165425,3.177423386318472,0.07977401635233866,False
method2,27,40.0,0.05,5.0,0.0001,1.0,1.0,0.07190351880011944,0.07631271797679025,0.32155655433405733,3.178563528635288,0.07992393165111823,False
method2,28,40.0,0.05,10.0,1e-08,0.8,1.0,0.04536745810275958,0.07665895923387032,0.42529492844047484,3.116501229451043,0.0554316072862946,True
method2,29,40.0,0.05,10.0,1e-06,0.9,1.0,0.04526486355374486,0.07688939483909263,0.42657288167256363,3.1252056032574087,0.05535892398882483,True
method2,30,40.0,0.05,10.0,0.0001,1.0,1.0,0.045451317539348876,0.07707284760702582,0.4276600205136089,3.133078011164963,0.055571056955203535,True
method2,31,40.0,0.05,20.0,1e-08,0.8,1.0,0.033579037825975225,0.08661675416110151,0.4871206049879798,3.4711556537581907,0.045057027752613915,True
method2,32,40.0,0.05,20.0,1e-06,0.9,1.0,0.033705479811502334,0.08774852996626338,0.49612685219263425,3.5171871750443207,0.04538661044287718,True
method2,33,40.0,0.05,20.0,0.0001,1.0,1.0,0.03438818702088526,0.08638262326258785,0.4869051853525348,3.4569279180897277,0.04585475468698082,True
method2,34,40.0,0.05,50.0,1e-08,0.8,1.0,0.027548253958556427,0.0744102769776479,0.4162797419717005,2.984408416892987,0.03736605300643693,True
method2,35,40.0,0.05,50.0,1e-06,0.9,1.0,0.029643051737685826,0.07743095846186447,0.4350021888472278,3.155391487699267,0.03992079125848001,True
method2,36,40.0,0.05,50.0,0.0001,1.0,1.0,0.02976994764372913,0.08204236756564964,0.4652146982257993,3.2979059090105163,0.04072319456275038,True
method2,37,40.0,0.1,1.0,1e-08,0.8,1.0,0.08857417323022897,0.13870604379282578,0.3995239070925678,5.5967799271787895,0.09936304133566973,False
method2,38,40.0,0.1,1.0,1e-06,0.9,1.0,0.08854020756081062,0.13864710466836214,0.39917014527087163,5.594259874947873,0.099320740403702,False
method2,39,40.0,0.1,1.0,0.0001,1.0,1.0,0.08858624545741484,0.13858842119631387,0.3987347716883842,5.59139870737741,0.09935664024487123,False
method2,40,40.0,0.1,2.0,1e-08,0.8,1.0,0.08537398895297882,0.12669845800946053,0.3784759865752563,5.11092517993414,0.09549897127445102,False
method2,41,40.0,0.1,2.0,1e-06,0.9,1.0,0.08539093451573945,0.12666103584141084,0.3781921253982402,5.109371650728908,0.09550946284906872,False
method2,42,40.0,0.1,2.0,0.0001,1.0,1.0,0.08542030860098868,0.12654653399880791,0.37728660753769916,5.104250351941214,0.09551816592771326,False
method2,43,40.0,0.1,5.0,1e-08,0.8,1.0,0.07108249526189957,0.07487458321588567,0.3154678134912156,3.1221418590514434,0.0789529224612496,False
method2,44,40.0,0.1,5.0,1e-06,0.9,1.0,0.07126647802500143,0.07504506495419228,0.31483843572512354,3.1281932551750513,0.07912734336709142,False
method2,45,40.0,0.1,5.0,0.0001,1.0,1.0,0.07161831664535381,0.07539133721291429,0.315028893852793,3.1419024599652086,0.07948984575239228,False
method2,46,40.0,0.1,10.0,1e-08,0.8,1.0,0.044463599410462094,0.07732234589298458,0.4294443615165319,3.1391023466139223,0.054622037814099696,True
method2,47,40.0,0.1,10.0,1e-06,0.9,1.0,0.04501262347877792,0.0769615067443615,0.4269383999031738,3.126069381406077,0.05511442616754444,True
method2,48,40.0,0.1,10.0,0.0001,1.0,1.0,0.04463589514110916,0.07723172193717935,0.4282955397869494,3.1380905050313643,0.054770851189363826,True
method2,49,40.0,0.1,20.0,1e-08,0.8,1.0,0.03339398775121128,0.08789059648734568,0.495454081759057,3.5329281022848327,0.04506953343753484,True
method2,50,40.0,0.1,20.0,1e-06,0.9,1.0,0.032588946851978495,0.08524905296068845,0.4784045730243992,3.4160754503833575,0.04386507603765816,True
method2,51,40.0,0.1,20.0,0.0001,1.0,1.0,0.03420337910054625,0.08559178784254474,0.4821610435044479,3.423202985379837,0.04555820146332513,True
method2,52,40.0,0.1,50.0,1e-08,0.8,1.0,0.03085462114504911,0.08551176866389798,0.4850272748280308,3.4604309662985004,0.04228538212475898,True
method2,53,40.0,0.1,50.0,1e-06,0.9,1.0,0.030141724003061213,0.08177789587526653,0.46418597583960935,3.260225084683639,0.04105555606219522,True
method2,54,40.0,0.1,50.0,0.0001,1.0,1.0,0.028623164063068255,0.07228546537957876,0.40615001571311954,2.8881122253819833,0.03819022049002164,True
method2,55,40.0,0.5,1.0,1e-08,0.8,1.0,0.08450506699809367,0.131467742706717,0.36505146850491893,5.294379469651361,0.09445328610301773,False
method2,56,40.0,0.5,1.0,1e-06,0.9,1.0,0.08449633734759565,0.13143283769225445,0.3649264695482197,5.292861647796411,0.09444129756245825,False
method2,57,40.0,0.5,1.0,0.0001,1.0,1.0,0.0845307175472136,0.131360834368682,0.364504212297384,5.289423143691987,0.09446551336500728,False
method2,58,40.0,0.5,2.0,1e-08,0.8,1.0,0.08142767886185467,0.11935519641824131,0.34384090365155534,4.808695000960663,0.0907088444353661,False
method2,59,40.0,0.5,2.0,1e-06,0.9,1.0,0.081424052912379,0.11927563590489801,0.34347902942823005,4.805205608031544,0.09069623630495938,False
method2,60,40.0,0.5,2.0,0.0001,1.0,1.0,0.0814423422146234,0.11915786156462803,0.34269784565667766,4.799804169149129,0.09069620121233152,False
method2,61,40.0,0.5,5.0,1e-08,0.8,1.0,0.06814143336163603,0.06648011677211636,0.2661955815574189,2.784812489175594,0.0748577512373722,False
method2,62,40.0,0.5,5.0,1e-06,0.9,1.0,0.06839605394191556,0.06679500299999956,0.265611740872452,2.7965595902067624,0.07510656855446798,False
method2,63,40.0,0.5,5.0,0.0001,1.0,1.0,0.06863879234973407,0.0669696257106313,0.2647479493891715,2.8025454523372573,0.07533502406368613,False
