method,idx,kp,lam,gamma,reg,power,clip,mean_pos,final_pos,drift,solver,score,ok
method1,1,40.0,0.01,0.5,0.01,1.0,1.0,0.015461340524958315,0.03321745467826317,0.1852515679699093,1.4011428213793888,0.019866943295046194,True
method1,2,40.0,0.01,0.5,0.01,1.0,2.0,0.015413209189238948,0.03229195072512804,0.1795618508473656,1.36855956290552,0.01968872598763902,True
method1,3,40.0,0.01,0.5,0.1,1.0,1.0,0.03395744012414832,0.035877216952923466,0.20023969112767276,1.5560720422003302,0.038740269967801944,True
method1,4,40.0,0.01,0.5,0.1,1.0,2.0,0.034193280863160265,0.03787398912680783,0.2125175773589892,1.6402955529976926,0.0392637801868389,True
method1,5,40.0,0.01,0.5,1.0,1.0,1.0,0.075669157647558,0.05761846329907028,0.18802906377323553,2.2674588570600993,0.08056346835155274,False
method1,6,40.0,0.01,0.5,1.0,1.0,2.0,0.07686469480708301,0.08388360636918245,0.26575461105994974,3.2363980013077254,0.08379798602893587,False
method1,7,40.0,0.01,1.0,0.01,1.0,1.0,0.015348648977249245,0.029140986946672963,0.1618847930212804,1.1782804697040679,0.019175485072526886,True
method1,8,40.0,0.01,1.0,0.01,1.0,2.0,0.015258543643078173,0.027538208381358457,0.1520434691820345,1.1219799544715578,0.018860403003954643,True
method1,9,40.0,0.01,1.0,0.1,1.0,1.0,0.033005962567167944,0.04409372859299046,0.24899705277603498,1.8532459936025394,0.038912526619489914,True
method1,10,40.0,0.01,1.0,0.1,1.0,2.0,0.0324616062914474,0.043602184326302744,0.2474205767934797,1.8614572113623287,0.03834074643299815,True
method1,11,40.0,0.01,1.0,1.0,1.0,1.0,0.07511217078496726,0.06482503384651625,0.2034244489208565,2.5025922995835597,0.08043195591317617,False
method1,12,40.0,0.01,1.0,1.0,1.0,2.0,0.06849519903921833,0.07436969642759383,0.3102681926804006,2.7991680736220372,0.07610014692963736,False
method1,13,40.0,0.01,2.0,0.01,1.0,1.0,0.01474086317755837,0.020344028673455913,0.11198653867807327,0.7915928284250516,0.017376390365332364,True
method1,14,40.0,0.01,2.0,0.01,1.0,2.0,0.014634424023302933,0.01875452311071502,0.10266345010570974,0.7420510004796949,0.017058718525656973,True
method1,15,40.0,0.01,2.0,0.1,1.0,1.0,0.031031365907856684,0.04978605883202678,0.2806626146179626,2.091408690949331,0.0376903225456906,True
method1,16,40.0,0.01,2.0,0.1,1.0,2.0,0.029867582171559423,0.04555055722013867,0.2524755795024327,1.965401676717061,0.03589979459996661,True
method1,17,40.0,0.01,2.0,1.0,1.0,1.0,0.06951552467069906,0.06671379020010977,0.23406850293131296,2.520654231482311,0.07545722184506648,False
