idx,sub,gamma,solver_lambda,ncp,mean,final,drift,res,min_slack,ok,score
1,80.0,20.0,0.01,1e-08,0.007298308780961679,0.005059999937334659,0.02805823213593087,1.8852010403390649,0.1843949610902178,True,0.009744674464019361
2,80.0,20.0,0.01,1e-06,0.007298303777168629,0.005059992557097616,0.02805819114279681,1.8851998731009458,0.18439423809009914,True,0.009744667473125511
3,80.0,20.0,0.01,0.0001,0.0072975550902054775,0.005059178605860581,0.028053738835339098,1.8851430211342244,0.18432236490963771,True,0.009743772888046485
4,80.0,20.0,0.1,1e-08,0.007874212146786618,0.006270706524937589,0.03486241359622422,2.0167679959085474,0.20934170489737736,True,0.01058822841461965
5,80.0,20.0,0.1,1e-06,0.007874209380198859,0.006270704075031883,0.034862399918326216,2.0167673449342924,0.20934128625003368,True,0.010588224723499675
6,80.0,20.0,0.1,0.0001,0.007873932712248309,0.006270459090537547,0.03486103216391389,2.0167022478917644,0.20929966518860632,True,0.010587855603418352
7,80.0,20.0,1.0,1e-08,0.009539061000257058,0.008558403328661646,0.04762635940497391,2.3994977418787897,0.19566168483781832,True,0.012891085930235326
8,80.0,20.0,1.0,1e-06,0.009539060124950434,0.008558402758610499,0.047626356238059796,2.399497535402199,0.19566169273087808,True,0.012891084785113829
9,80.0,20.0,1.0,0.0001,0.009538972603158714,0.008558345754752544,0.047626039553973286,2.3994768907742365,0.19566273640937593,True,0.012890970285012416
10,80.0,20.0,10.0,1e-08,0.015855864373845056,0.014838403692749665,0.08267340874127865,3.831702105063384,0.5357901662508917,True,0.021341034653734013
11,80.0,20.0,10.0,1e-06,0.015855863757659804,0.014838402814718944,0.08267340383604829,3.8317019575979443,0.535790166837468,True,0.021341033791978714
12,80.0,20.0,10.0,0.0001,0.015855802153825815,0.014838315025257402,0.08267291338922556,3.8316872154035435,0.5357902285695173,True,0.021340947637013868
13,80.0,20.0,100.0,1e-08,0.027058196774700113,0.020452570617543197,0.10649769761625172,6.425547566076379,0.6563707178564109,True,0.03561369829310153
14,80.0,20.0,100.0,1e-06,0.027058196457373097,0.02045257005536217,0.10649769396118326,6.4255474915277855,0.6563707117908535,True,0.03561369782812455
15,80.0,20.0,100.0,0.0001,0.027058162573756404,0.02045251233290517,0.10649731747704308,6.425539678620512,0.6563701074563042,True,0.03561364860191778
16,80.0,50.0,0.01,1e-08,0.005795099062808142,0.00331793305718314,0.01832277489740545,1.5257488941245005,0.35490075499807605,True,0.0076873034548807515
17,80.0,50.0,0.01,1e-06,0.005795092666096775,0.0033179042620447574,0.018322641392414706,1.5257473706992999,0.3549008999121901,True,0.007687292864644368
18,80.0,50.0,0.01,0.0001,0.005794690712682108,0.003318439668531245,0.018323861003097765,1.5254720487136917,0.3549118755847831,True,0.007686639981457755
19,80.0,50.0,0.1,1e-08,0.006580231422211803,0.004889728465507823,0.027151321094483122,1.7094309943245627,0.33576505770324183,True,0.008832688838426028
20,80.0,50.0,0.1,1e-06,0.006580200215583607,0.004889726220619206,0.02715130854755856,1.7094192342910919,0.33576504878354263,True,0.00883264562082587
21,80.0,50.0,0.1,0.0001,0.006579905254184077,0.0048895016340517366,0.02715005332805203,1.7093485241751971,0.33576424798531823,True,0.008832254844920315
22,80.0,50.0,1.0,1e-08,0.008393644089144843,0.007353446943405008,0.04091429785229828,2.133197964170037,0.2549132225123407,True,0.011345128010360845
23,80.0,50.0,1.0,1e-06,0.008393643448618567,0.007353446477584966,0.040914295256124285,2.1331978114726384,0.2549132567512966,True,0.011345127165213692
24,80.0,50.0,1.0,0.0001,0.00839357965237866,0.007353399895978759,0.04091403564163476,2.133040045620864,0.2549168117093745,True,0.011344900410832219
25,80.0,50.0,10.0,1e-08,0.012173786705939929,0.009942508734078304,0.05535146391180279,3.0004416331817385,0.4153933289042333,True,0.016281257617357724
26,80.0,50.0,10.0,1e-06,0.012173786465352497,0.009942511252557115,0.05535147811443387,3.000441583693996,0.41539327157936,True,0.01628125761133517
27,80.0,50.0,10.0,0.0001,0.0121737567043051,0.009942499582608958,0.05535141237960966,3.000433997911208,0.4153875630028292,True,0.0162812189498085
28,80.0,50.0,100.0,1e-08,0.022214119462068284,0.022668425879198102,0.12646914353648067,5.2854331814444695,0.5767502672904574,True,0.030028935514242367
29,80.0,50.0,100.0,1e-06,0.02221411908983328,0.022668425026431117,0.12646913880935692,5.285433092262469,0.5767502651590353,True,0.03002893495828289
30,80.0,50.0,100.0,0.0001,0.022214087066374642,0.022668338377943235,0.1264686583551337,5.285429277102055,0.5767505195709988,True,0.03002888951057937
31,80.0,100.0,0.01,1e-08,0.004622368021582652,0.002140303945430316,0.011760693843806264,1.2356440608847086,0.5319227106112061,True,0.0060932259593434865
32,80.0,100.0,0.01,1e-06,0.004622360658877401,0.002140297225460629,0.01176065600814426,1.2356422240236962,0.5319227458344242,True,0.006093216003063983
33,80.0,100.0,0.01,0.0001,0.004621623513633421,0.002139638632857385,0.011756926751323638,1.2354587220226865,0.5319264478423209,True,0.00609222077068258
34,80.0,100.0,0.1,1e-08,0.005600584444561118,0.003905312674378321,0.021654612424262046,1.4725592987529004,0.46387126989448557,True,0.007506235991799259
35,80.0,100.0,0.1,1e-06,0.0056005815026484015,0.0039053107738802524,0.021654601776509203,1.4725585783302344,0.46387164497169264,True,0.00750623211650882
36,80.0,100.0,0.1,0.0001,0.005600274150673295,0.0039051207451759086,0.021653537121565605,1.4724867165636721,0.46390928360412165,True,0.0075058316096682795
37,80.0,100.0,1.0,1e-08,0.0075664953816081725,0.006449988391024731,0.035875749655752104,1.9381940040765153,0.3138169689561787,True,0.01022220437879973
38,80.0,100.0,1.0,1e-06,0.007566494768731966,0.006449987983623342,0.03587574737248671,1.9381938564287389,0.31381700695655756,True,0.010222203572610439
