label,noise_level,noise_type,trials,mean_position_error_m_mean,mean_position_error_m_std,mean_position_error_m_min,mean_position_error_m_max,final_position_error_m_mean,final_position_error_m_std,final_position_error_m_min,final_position_error_m_max,max_position_error_m_mean,max_position_error_m_std,max_position_error_m_min,max_position_error_m_max,final_joint_drift_norm_rad_mean,final_joint_drift_norm_rad_std,final_joint_drift_norm_rad_min,final_joint_drift_norm_rad_max,max_drift_norm_mean,max_drift_norm_std,max_drift_norm_min,max_drift_norm_max,mean_drift_norm_mean,mean_drift_norm_std,mean_drift_norm_min,mean_drift_norm_max
method2 (actuator),1e-05,actuator,5,4.0676736361314855e-06,2.6817008431040964e-10,4.067282241824257e-06,4.068125877626476e-06,1.3286438296614996e-06,2.230960258077783e-08,1.2921455063096553e-06,1.3597499425366724e-06,1.5187107542318531e-05,6.312165079865271e-09,1.5177065679251026e-05,1.5195930110914397e-05,3.8899931392752084e-06,7.012885652501201e-08,3.769352114979305e-06,3.975035624570123e-06,0.5123564815035311,3.657290371829817e-08,0.512356422322121,0.5123565261383414,0.31017710976559554,9.454495703553275e-10,0.31017710853870756,0.31017711091826516
method2 (actuator),5e-05,actuator,5,4.070985860558523e-06,1.3116353724796026e-09,4.06972173191651e-06,4.072854044600737e-06,1.3605548197344024e-06,1.9703254726193638e-07,1.0539164194051375e-06,1.5745083853881515e-06,1.5128322317439611e-05,5.668089226822761e-08,1.5061989920870579e-05,1.521287322334962e-05,3.90030119568582e-06,1.610968735522642e-07,3.598410816616744e-06,4.0345898717461484e-06,0.512356493005299,2.4677059180168794e-07,0.5123562349740196,0.5123568641259013,0.3101771091279715,2.762470090578745e-09,0.3101771052850798,0.3101771131492239
method2 (actuator),0.0001,actuator,5,4.081000001240893e-06,1.3808224326708509e-09,4.079773390829678e-06,4.083642164209029e-06,1.519374510466335e-06,1.929097532484211e-07,1.217967988519715e-06,1.758230680863587e-06,1.5187054523653291e-05,9.443753385269542e-08,1.5047525767343221e-05,1.53116992332518e-05,4.010378961109211e-06,2.697705619526567e-07,3.7231513232556755e-06,4.435373513067303e-06,0.5123563342966276,3.9267132823974255e-07,0.512355771179882,0.5123567777960212,0.3101771122118791,1.5429482112284643e-08,0.31017708384347714,0.3101771276935189
method2 (actuator),0.0005,actuator,5,4.384539874771676e-06,1.459312854719092e-08,4.361175756917447e-06,4.407132582230376e-06,2.7109329853121192e-06,8.615359140663569e-07,1.2949813349179918e-06,3.9924627417109865e-06,1.5367437214179364e-05,6.969489056823601e-07,1.432488657550715e-05,1.6421309974416558e-05,6.421850032702756e-06,3.1828622299849436e-06,2.298783268534095e-06,1.0338637656507801e-05,0.512358328828679,1.3703068482951053e-06,0.5123557764492731,0.5123598504109398,0.3101771195919635,3.3690171070114917e-08,0.3101770929143224,0.31017718051733767
method2 (actuator),0.001,actuator,5,5.135999005808967e-06,5.676533695763686e-09,5.128605868675158e-06,5.144978074537614e-06,4.677060659510524e-06,1.5384602612734721e-06,2.621211176290176e-06,7.054739959386674e-06,1.5101871572694269e-05,3.847768659465709e-07,1.4736032072795311e-05,1.573472656857722e-05,1.4606900062249387e-05,4.805208524124028e-06,8.316041249972674e-06,2.0560445806616462e-05,0.5123579476175761,4.192286948521812e-06,0.5123512183566792,0.5123627635994408,0.3101771299200453,7.836541603918603e-08,0.3101770179867999,0.31017725575087185
method2 (actuator),0.005,actuator,5,1.444229023489626e-05,1.1113720400836074e-07,1.4274319509074662e-05,1.4590512706489239e-05,1.3914524888894938e-05,5.350634058023082e-06,8.516389858881897e-06,2.198395405365978e-05,4.2420928188946503e-05,1.0165176485267543e-06,4.1080062171675455e-05,4.400412837011542e-05,5.7283038152771795e-05,1.0379276016878377e-05,4.20883857126565e-05,7.385562962993363e-05,0.5123925957455308,1.5987191528472496e-05,0.5123711224745212,0.5124179721249719,0.3101770331581954,6.469052654288997e-07,0.31017639963684523,0.310178174995811
method2 (actuator),0.01,actuator,5,2.7763231902642575e-05,1.9502363681644986e-07,2.7548439640814477e-05,2.8068318778899002e-05,1.8553197133585684e-05,6.627555452766711e-06,1.1863926880331965e-05,2.9659000494168385e-05,9.144206472373045e-05,9.876996323569863e-06,7.971472356617603e-05,0.00010392551498622908,0.00011366808988277498,2.5361923033529194e-05,7.933003497490249e-05,0.00013746073431817628,0.5123964219447693,1.2610282813715754e-05,0.5123812285751759,0.5124136095606566,0.3101777067365627,1.0612865237624737e-06,0.31017612485243096,0.31017927472193046
method2 (sensor),1e-06,sensor,5,4.128500932587178e-06,5.229683546900936e-09,4.119095502209704e-06,4.133898187505146e-06,1.2379335014466304e-06,4.2945321821223554e-07,8.006686691006221e-07,2.02292600159167e-06,1.5069266713130478e-05,1.783416062852126e-07,1.4822436891996442e-05,1.5260204464263584e-05,4.090655842112887e-06,1.4953102691925725e-06,2.420422713354363e-06,6.7136576990931835e-06,0.512357752095358,5.333473900559321e-07,0.512356707615767,0.5123581222308985,0.3101770992070251,1.732740723573389e-08,0.3101770671417721,0.3101771161562033
method2 (sensor),5e-06,sensor,5,5.267422100291937e-06,1.9238096715554135e-08,5.230284037207702e-06,5.285376084273062e-06,3.3932415197362393e-06,1.4929769006327918e-06,1.7136394956084534e-06,5.36948750910206e-06,1.6323313345186247e-05,9.041974254360334e-07,1.5232550228866288e-05,1.7623223787055033e-05,1.3643246278142827e-05,6.155045174935954e-06,5.186144100105334e-06,2.4401307378474144e-05,0.5123592594979325,2.060780289002717e-06,0.5123568305504114,0.5123629222905659,0.31017701919203694,6.347095539201939e-08,0.3101769477177448,0.31017711684916227
method2 (sensor),1e-05,sensor,5,7.536834129676876e-06,8.487629122853547e-08,7.396921054926109e-06,7.659435294634292e-06,4.489391100136044e-06,7.391771501917845e-07,3.4671806962082167e-06,5.6524226320341755e-06,2.054128236304487e-05,7.426087766135953e-07,1.9679234043356516e-05,2.1440740130682095e-05,2.659914925342708e-05,5.569615304447951e-06,1.8857962474195235e-05,3.374528338816619e-05,0.512364955336994,3.4704206901252115e-06,0.5123583979715974,0.5123686577865968,0.31017736782048894,1.7704255765038373e-07,0.31017710014771366,0.3101776009993986
method2 (sensor),5e-05,sensor,5,3.0082423930074917e-05,4.959786360895008e-07,2.9579742124659664e-05,3.1017100173289875e-05,2.524197128985779e-05,1.2303968236296375e-05,1.02723511039408e-05,4.454377880673868e-05,9.464710579314678e-05,5.158677172199928e-06,8.530778308359369e-05,0.00010036257287468591,0.00010062769834667886,3.421935922784102e-05,6.657319054953802e-05,0.00015487714919864065,0.5124049518844181,1.63528178196393e-05,0.5123830100591779,0.5124222385138754,0.310178098272026,8.233553435010581e-07,0.3101769985414435,0.3101793670422324
method2 (sensor),0.0001,sensor,5,5.869364750343726e-05,8.285202204052794e-07,5.73109233619804e-05,5.9693923898427705e-05,4.8895179595056856e-05,1.631268232385938e-05,2.948766189911915e-05,7.324030979073866e-05,0.00019900411315723656,2.411764977668778e-05,0.0001803973897323812,0.0002463293992609955,0.0001940737427039016,7.303762159826182e-05,9.80846423243235e-05,0.00031235798399359036,0.512531181483647,7.018205163237252e-05,0.5124168202128437,0.5126031414568952,0.31017657906162494,1.492949163925496e-06,0.31017443354524676,0.3101785315176418
method2 (sensor),0.0005,sensor,5,0.00029351280592302586,1.3220285465278862e-06,0.0002914302706266284,0.00029556632961665345,0.0002045903861950249,0.00011660476876225536,6.619095746439407e-05,0.00039357723056922115,0.0009143296431370713,3.935389381446264e-05,0.000860450832424634,0.0009672104401345046,0.0007131524269625129,0.00018290382436879113,0.0005569496814787384,0.0010694838624571777,0.5131131832688348,0.000236656363912409,0.5128278480361809,0.5133800760568237,0.310192615890374,1.0428519898735971e-05,0.31017813184531495,0.3102053686651583
method2 (sensor),0.001,sensor,5,0.1534691679689227,0.035694178377704854,0.11869942853353672,0.19783544465315078,0.13943166833683487,0.07360033125186519,0.04147107359816241,0.2563030034922222,0.2769449838308363,0.050838230631898344,0.22579015772162567,0.36485018865684793,0.7444966837421572,0.15952155511325514,0.4525737857616831,0.9222651654032377,0.8395914254856232,0.1500644563349913,0.5917003295441962,1.0243788318767484,0.4963196020637596,0.07970391101269532,0.35646566881249925,0.588324003887745
method3a (actuator),1e-05,actuator,5,8.032026182246277e-07,1.591053947084859e-09,8.014439038040492e-07,8.053222467936921e-07,9.348995366428112e-07,1.6181067051022154e-08,9.062036107323928e-07,9.548007745586606e-07,1.6154642283113266e-06,1.6067778606095826e-08,1.5976345937338105e-06,1.6435505093946339e-06,2.255308921006727e-06,3.628538490974452e-08,2.187236156222995e-06,2.2851410322265594e-06,0.5123553746685063,3.1841652603738916e-08,0.5123553310770013,0.5123554167834506,0.31012162815710526,7.378601689834286e-10,0.3101216269466113,0.31012162906150387
method3a (actuator),5e-05,actuator,5,8.272019409061108e-07,3.862671066303942e-09,8.231179179094558e-07,8.337730278479589e-07,9.370888607245952e-07,1.393635879743395e-07,8.07459336240409e-07,1.1855882423328414e-06,1.6220377717624726e-06,5.8715256027940774e-08,1.5771952644157014e-06,1.7355226075247347e-06,2.4995861593096063e-06,1.676347572643632e-07,2.1648014192349866e-06,2.5948897011208493e-06,0.5123551307435316,3.441757237729127e-07,0.512354707018275,0.5123556773702432,0.3101216276822033,3.633589585086948e-09,0.31012162079901007,0.31012163137666604
method3a (actuator),0.0001,actuator,5,8.91722102732188e-07,2.402237695069441e-09,8.891769349069314e-07,8.952618583639018e-07,9.8800716371543e-07,1.928007166970471e-07,6.088664857508098e-07,1.145018009821017e-06,1.8854113177786366e-06,2.3863797990934143e-08,1.8554537907237769e-06,1.9133979677160136e-06,2.9233948230023876e-06,5.705411513489785e-08,2.857181723647576e-06,3.004280460957882e-06,0.5123550446781171,2.6555469234632696e-07,0.5123548027259084,0.5123555463849497,0.31012163637697904,7.0589005873849575e-09,0.3101216269905996,0.31012164302670364
method3a (actuator),0.0005,actuator,5,1.931229132504403e-06,2.5119697660330096e-08,1.8982011199078917e-06,1.9525871962548234e-06,1.42135721709181e-06,5.948910256247474e-07,6.915383368176983e-07,2.225724685906895e-06,5.84025917520614e-06,1.0268433681812452e-07,5.7352051673182374e-06,6.023006996036809e-06,8.334972651144922e-06,3.0448672128193717e-06,4.113431653150725e-06,1.3574322526339878e-05,0.5123568131557391,2.1680330498810885e-06,0.5123537490662857,0.5123604343674871,0.3101217438669618,1.6395194598610656e-08,0.31012172619113837,0.31012177493948306
method3a (actuator),0.001,actuator,5,3.3858515630073673e-06,4.399582575062405e-08,3.3254567272102395e-06,3.460450679264727e-06,2.8746602676967136e-06,1.1187873974823585e-06,1.0040966377081727e-06,4.505723194277873e-06,1.0315635304938128e-05,4.825687938668006e-07,9.758531219639287e-06,1.1172223392146614e-05,1.5968151890159847e-05,4.4595148432768425e-06,1.0530001073604536e-05,2.323698551353359e-05,0.5123611490539915,4.296697287867112e-06,0.5123553752775956,0.5123654656674188,0.31012186441339085,1.020359081658974e-08,0.31012185094605277,0.3101218822522292
