method,noise_channel,noise_profile,noise_level,trials,duration_s,tau,mean_position_error_m_mean,mean_position_error_m_std,mean_position_error_m_min,mean_position_error_m_max,max_position_error_m_mean,max_position_error_m_std,max_position_error_m_min,max_position_error_m_max,final_position_error_m_mean,final_position_error_m_std,final_position_error_m_min,final_position_error_m_max,mean_joint_drift_norm_rad_mean,mean_joint_drift_norm_rad_std,mean_joint_drift_norm_rad_min,mean_joint_drift_norm_rad_max,max_abs_joint_drift_rad_mean,max_abs_joint_drift_rad_std,max_abs_joint_drift_rad_min,max_abs_joint_drift_rad_max,final_joint_drift_norm_rad_mean,final_joint_drift_norm_rad_std,final_joint_drift_norm_rad_min,final_joint_drift_norm_rad_max,mean_elncp_residual_norm_mean,mean_elncp_residual_norm_std,mean_elncp_residual_norm_min,mean_elncp_residual_norm_max,max_elncp_residual_norm_mean,max_elncp_residual_norm_std,max_elncp_residual_norm_min,max_elncp_residual_norm_max,mean_stationarity_norm_mean,mean_stationarity_norm_std,mean_stationarity_norm_min,mean_stationarity_norm_max,mean_ncp_residual_norm_mean,mean_ncp_residual_norm_std,mean_ncp_residual_norm_min,mean_ncp_residual_norm_max,mean_pcg_iterations_mean,mean_pcg_iterations_std,mean_pcg_iterations_min,mean_pcg_iterations_max,max_pcg_iterations_mean,max_pcg_iterations_std,max_pcg_iterations_min,max_pcg_iterations_max,mean_active_iterations_mean,mean_active_iterations_std,mean_active_iterations_min,mean_active_iterations_max,max_active_iterations_mean,max_active_iterations_std,max_active_iterations_min,max_active_iterations_max,min_boundary_slack_mean,min_boundary_slack_std,min_boundary_slack_min,min_boundary_slack_max,mean_noise_norm_mean,mean_noise_norm_std,mean_noise_norm_min,mean_noise_norm_max,max_noise_norm_mean,max_noise_norm_std,max_noise_norm_min,max_noise_norm_max,wall_clock_run_s_mean,wall_clock_run_s_std,wall_clock_run_s_min,wall_clock_run_s_max
Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,0.0,5,20.0,0.005,0.00020433668773123088,0.0,0.00020433668773123088,0.00020433668773123088,0.0003074013271522352,0.0,0.0003074013271522352,0.0003074013271522352,6.079975503728618e-07,0.0,6.079975503728618e-07,6.079975503728618e-07,0.31012090517219704,0.0,0.31012090517219704,0.31012090517219704,0.4125530800102486,0.0,0.4125530800102486,0.4125530800102486,4.66718039408846e-07,5.293955920339377e-23,4.6671803940884594e-07,4.6671803940884594e-07,1.9095206686859357e-08,0.0,1.9095206686859357e-08,1.9095206686859357e-08,1.4811182048296623e-07,0.0,1.4811182048296623e-07,1.4811182048296623e-07,1.905586282222095e-08,0.0,1.905586282222095e-08,1.905586282222095e-08,8.670080869261876e-11,0.0,8.670080869261876e-11,8.670080869261876e-11,9.51525,0.0,9.51525,9.51525,13.0,0.0,13.0,13.0,1.5305,0.0,1.5305,1.5305,2.0,0.0,2.0,2.0,1.8596598459274205,2.220446049250313e-16,1.8596598459274203,1.8596598459274203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8517953199974726,0.07994269664610434,1.6940878999885172,1.904381000000285
Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,1e-06,5,20.0,0.005,0.00020433489520171088,7.040630788250967e-09,0.00020432672649309792,0.00020434744496219536,0.0003074909005713098,4.636586042410143e-08,0.00030744302082550713,0.00030756721200178995,7.336756872045858e-07,1.8024092039191352e-07,4.452520604754235e-07,9.532631523477157e-07,0.3101209268719563,1.893240622492673e-07,0.3101206847245117,0.3101211298063845,0.412553297896054,6.733638470634075e-07,0.4125522286301737,0.41255397351978473,1.1822727311977178e-06,1.5044251687363614e-07,9.654541002787552e-07,1.3540390001569362e-06,1.9372630749612424e-08,4.758659270365632e-10,1.892515470972886e-08,2.0275823701016672e-08,1.530960231954142e-07,5.984093650953639e-09,1.4731429328482996e-07,1.6321968899828284e-07,1.9332572981206868e-08,4.759808971787883e-10,1.8885127754762536e-08,2.02359681090903e-08,8.670080954753021e-11,1.8297307834539536e-18,8.670080758195724e-11,8.670081231531414e-11,9.583549999999999,0.0125343527954178,9.5655,9.602,12.8,0.7483314773547882,12.0,14.0,1.5434,0.0038749193539995247,1.5385,1.5485,2.0,0.0,2.0,2.0,1.8596596793367806,2.9207130497645356e-07,1.859659239019343,1.859659945166585,1.0000000000000002e-06,9.470116246213047e-23,1.0000000000000002e-06,1.0000000000000004e-06,1.0000000000000002e-06,1.8940232492426094e-22,1e-06,1.0000000000000002e-06,1.8836154800024816,0.031404809108606054,1.8253982000169344,1.9153210000076797
Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,5e-06,5,20.0,0.005,0.00020436217631651554,3.508684576380304e-08,0.00020429452663358837,0.0002043886600915204,0.0003080995828892265,6.702828018829663e-07,0.00030713320744042607,0.0003088337601249502,1.2655017893441514e-06,7.823618321318846e-07,5.764133696042023e-07,2.76821478082522e-06,0.3101204573945646,3.96542079017731e-07,0.31012004699857015,0.3101211903884909,0.4125514769813555,2.5268548882139797e-06,0.41254958579007983,0.412556395400689,4.996188181522213e-06,2.4712009745277954e-07,4.781607962203956e-06,5.446846276447984e-06,1.8950095542312247e-08,5.476830097141062e-10,1.815898266700736e-08,1.955238685780182e-08,1.5340755837264045e-07,1.0645261807845445e-08,1.4156184802394913e-07,1.6762099064656294e-07,1.8908576296081814e-08,5.482747982803475e-10,1.8116352569254962e-08,1.951122868703839e-08,8.670080907668692e-11,9.032801568397184e-19,8.670080799435789e-11,8.670081036791546e-11,9.653749999999999,0.04431675755287139,9.59825,9.719,13.0,0.0,13.0,13.0,1.5648,0.01255726881132999,1.54975,1.5845,2.0,0.0,2.0,2.0,1.8596589755376747,8.096174096115868e-07,1.8596575839928091,1.8596599025167662,5.000000000000001e-06,0.0,5.000000000000001e-06,5.000000000000001e-06,5e-06,0.0,5e-06,5e-06,1.8512943399953656,0.043170125956760154,1.7929830999928527,1.911816000007093
Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,1e-05,5,20.0,0.005,0.00020435779264889667,8.930391727832426e-08,0.00020423378922482206,0.00020447892606702012,0.0003084755102732119,1.1535681617275482e-06,0.00030685318427061715,0.00031035339802315526,2.0570338723895754e-06,1.063132309631151e-06,2.892229386686607e-07,3.5099764456253423e-06,0.3101205290156338,9.350133973674192e-07,0.31011872839426624,0.3101211553453149,0.412551819840567,4.198476303189624e-06,0.4125444387048991,0.4125571144117892,1.0013587926096315e-05,1.1884289017451299e-07,9.867623689621872e-06,1.0172435058991766e-05,1.8702734850055955e-08,5.220392172837467e-10,1.7774531424757243e-08,1.933527859199415e-08,1.5519313499669257e-07,1.0184135800563577e-08,1.3911192937017734e-07,1.6426146087220954e-07,1.866095384900917e-08,5.231159656729743e-10,1.773113506994143e-08,1.9295503514879588e-08,8.670081034843976e-11,1.23438275035196e-18,8.670080886380072e-11,8.670081205397715e-11,9.655350000000002,0.04420622128162505,9.586,9.72475,13.0,0.0,13.0,13.0,1.5665,0.014176565169320853,1.54425,1.5885,2.0,0.0,2.0,2.0,1.8596567068711092,2.3384109686844495e-06,1.8596537502663242,1.8596595315434783,1.0000000000000003e-05,0.0,1.0000000000000003e-05,1.0000000000000003e-05,1.0000000000000003e-05,1.5152185993940875e-21,1e-05,1.0000000000000003e-05,1.8490038600109984,0.05057074264870126,1.753942500014091,1.898496600013459
Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,5e-05,5,20.0,0.005,0.0002044990547138983,3.2301048700763314e-07,0.00020410942683799104,0.0002048318432052286,0.0003135313893887659,5.474895691891375e-06,0.00030524632861535407,0.00031941037176336717,9.76842930607393e-06,3.16492622002757e-06,4.965228511760508e-06,1.3533774557744444e-05,0.31012119330879406,4.500663560361761e-06,0.3101144842126225,0.31012560615926527,0.4125563816136567,2.0867751216694782e-05,0.4125303414874184,0.4125845926038345,4.999892714584197e-05,1.4948934054452314e-07,4.978746584817157e-05,5.0205806831747434e-05,1.7150377791854497e-08,4.4277155413780417e-10,1.6590284061366213e-08,1.7705151442911097e-08,1.5754802727492788e-07,8.534651750244782e-09,1.4108554674259473e-07,1.6477998804560032e-07,1.710796955847183e-08,4.427217340257816e-10,1.654742880850136e-08,1.7662630078176203e-08,8.670081841726281e-11,3.749603306058605e-18,8.67008127287915e-11,8.670082340580346e-11,9.775549999999999,0.03668698679368475,9.73575,9.8355,13.6,0.48989794855663565,13.0,14.0,1.5962,0.005564171097297379,1.58925,1.60275,2.0,0.0,2.0,2.0,1.8596473986007875,4.082557680216538e-06,1.859640939673189,1.8596521604985414,5.000000000000001e-05,6.776263578034403e-21,5.0000000000000016e-05,5.0000000000000016e-05,5e-05,3.030437198788175e-21,4.9999999999999996e-05,5e-05,1.8800746000022628,0.053134519918300704,1.8172994000196923,1.9659652000118513
Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,0.0001,5,20.0,0.005,0.00020682544720241496,1.162089623039035e-06,0.00020493402027107,0.00020856819871974575,0.0003149990129038836,1.7116933829506367e-05,0.000287838449690886,0.00033740268711995283,2.7636143381076768e-05,1.0488022787304865e-05,7.283796633481337e-06,3.561244753344879e-05,0.3101152007423761,1.1009687386169444e-05,0.3100977660312649,0.31012598835525185,0.41254533564331847,3.1734119796002285e-05,0.4124910129902195,0.41259064840865745,0.00010013291865352614,1.6377990869480724e-07,9.997004471292807e-05,0.00010036795073670575,1.7845768243211934e-08,7.516794047768795e-10,1.6834478404233276e-08,1.912700247655264e-08,1.5635624357947682e-07,8.328309200137922e-09,1.4572627618036467e-07,1.707018255514863e-07,1.7803307873282458e-08,7.520582510385825e-10,1.6791358741243356e-08,1.9085131312459162e-08,8.670088919327999e-11,3.732599879811609e-17,8.670081545825128e-11,8.670091395018909e-11,9.735050000000001,0.0634957478891305,9.656,9.851,13.2,0.39999999999999997,13.0,14.0,1.5885500000000001,0.014111520116557308,1.5675,1.61125,2.0,0.0,2.0,2.0,1.8596116923540915,2.0965732675495127e-05,1.8595800922925672,1.8596437146718217,0.00010000000000000002,1.3552527156068805e-20,0.00010000000000000003,0.00010000000000000003,0.0001,8.571370772892337e-21,0.0001,0.00010000000000000002,1.8497020000009798,0.05099670160311872,1.7588669000251684,1.914733499987051
Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,0.0005,5,20.0,0.005,0.0002476795338459319,1.8378850937395104e-05,0.00022458255387431246,0.0002773273353928739,0.0003995649487218732,4.538829863355328e-05,0.0003313905398797581,0.0004452557979106232,0.00013647402690246163,4.1489265700185644e-05,7.884437481820644e-05,0.00019182274973158348,0.3100779189631916,5.2095416982634235e-05,0.31001552504623636,0.31015472735186617,0.41233786319664406,7.403159865932472e-05,0.41223884469767125,0.41241178837783843,0.0004999271959661305,1.983632503031167e-07,0.0004996834804131455,0.0005001662948947324,1.6474645278556677e-08,3.2293769040697893e-10,1.6085912957394704e-08,1.6994980846458184e-08,1.4845980162485863e-07,9.681398356842722e-09,1.3644050109579634e-07,1.625734565124459e-07,1.6433509669808024e-08,3.2256197965825157e-10,1.6045340316208862e-08,1.695265579623264e-08,8.670272749872386e-11,6.81682844483816e-16,8.670152059019711e-11,8.670346549466587e-11,9.9084,0.04794752339798174,9.834,9.97025,14.0,0.0,14.0,14.0,1.6144000000000003,0.00652226954364812,1.6065,1.623,2.0,0.0,2.0,2.0,1.8582699281598951,0.0023280435743604573,1.853615907122341,1.859536665134443,0.0005000000000000002,0.0,0.0005000000000000002,0.0005000000000000002,0.0005,0.0,0.0005,0.0005,1.8858778999943753,0.060770448561248795,1.7743498999916483,1.9391174000047613
Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,0.001,5,20.0,0.005,0.0003351293764551778,3.562577262100694e-05,0.0002959272497467002,0.00039376813021791524,0.0005809959225681498,7.128510129786627e-05,0.0005122146478325874,0.0007068445034667225,0.00027926692490050375,4.68083812595929e-05,0.00022542397021692095,0.0003558578374476327,0.31011363349426496,9.832881662926777e-05,0.31003082798480186,0.31030145640884255,0.4125699104818654,0.0002594305012351895,0.4121704521399059,0.4128103575333555,0.0010000444904028699,2.4375146608481105e-07,0.0009997285710434613,0.0010003874165781315,1.6516953041641827e-08,3.5482247754882056e-10,1.6094111780779857e-08,1.7097023794883248e-08,1.6821311817509103e-07,5.6302048918772855e-09,1.5908298998910354e-07,1.7596781612470149e-07,1.647703200479364e-08,3.5486786460122764e-10,1.605245390069919e-08,1.7056014526749744e-08,8.670779656882583e-11,2.0866183119768865e-15,8.670506111806852e-11,8.671118870557756e-11,9.947849999999999,0.04179671039687212,9.89275,9.9995,14.0,0.0,14.0,14.0,1.6151499999999999,0.002713853349022432,1.61075,1.61825,2.0,0.0,2.0,2.0,1.7390740635150794,0.05017570912831445,1.6744900935699336,1.8028866365845209,0.0010000000000000005,0.0,0.0010000000000000005,0.0010000000000000005,0.001,0.0,0.001,0.001,1.9229868599912152,0.057925564508205324,1.8609564999933355,2.0188914999889676
Method 3: continuous TVQP + ELNCP + PCG,sensor,linear,1e-06,5,20.0,0.005,0.00020433762193479795,3.5760015865111965e-09,0.00020433419789881281,0.00020434362668620586,0.0003074447733114396,7.165432424055267e-08,0.0003073613980672361,0.00030756289113592736,6.460764072209424e-07,1.4081328905275779e-07,4.4937534164655555e-07,8.068214950638119e-07,0.31012088410384325,5.5412086538149295e-08,0.31012079917722063,0.31012095023859526,0.41255304950894034,1.153355625093144e-07,0.4125528619488288,0.41255315164704376,1.1126104201131416e-06,1.4168939467544498e-07,9.038644080451715e-07,1.2836788994472166e-06,1.9482112517275376e-08,4.860095795902672e-10,1.8619637217812803e-08,1.9982641533249406e-08,1.5812105467198777e-07,1.0856782647108577e-08,1.3909796553281083e-07,1.7101320586980365e-07,1.944214392060265e-08,4.862611308809207e-10,1.857932062971937e-08,1.9942966934005147e-08,8.670083547845009e-11,1.7423363253862405e-18,8.670083306230492e-11,8.67008376588314e-11,9.560950000000002,0.011693374192251225,9.5435,9.57525,12.8,0.39999999999999997,12.0,13.0,1.54025,0.004018706259481966,1.5355,1.5445,2.0,0.0,2.0,2.0,1.8596598428281328,2.1905405433539676e-08,1.8596598081809113,1.8596598710997834,4.99875e-07,6.696383416322138e-23,4.998749999999999e-07,4.998750000000001e-07,9.9975e-07,9.470116246213047e-23,9.9975e-07,9.997500000000003e-07,1.8852418600057717,0.054491542074782406,1.7963065000076313,1.9575798000150826
Method 3: continuous TVQP + ELNCP + PCG,sensor,linear,5e-06,5,20.0,0.005,0.00020432295339384166,2.2652625919082355e-08,0.0002042932252221829,0.00020435417955047376,0.0003076356171973063,1.7991926008599192e-07,0.00030735505531724453,0.00030791173692450564,1.4247828588392684e-06,6.83788437243899e-07,4.6245085243822873e-07,2.593817113055905e-06,0.31012125986268435,3.2189907199573573e-07,0.3101208699575895,0.31012182396285454,0.4125538909037541,9.173727526451944e-07,0.41255228983859515,0.4125547940373866,5.053002519187718e-06,2.3053129363714916e-07,4.800306547311942e-06,5.418572929418653e-06,1.9625927703455562e-08,4.2809211973504697e-10,1.9068647829511303e-08,2.0232375951678057e-08,1.5803152416313856e-07,1.6238993716951436e-08,1.3206028514847962e-07,1.7711425119245027e-07,1.9585983277264094e-08,4.2827705957515593e-10,1.902812283184373e-08,2.0192303876194333e-08,8.670083678113714e-11,1.2985942402942727e-18,8.670083522311888e-11,8.67008385555435e-11,9.555,0.012053007923335924,9.5455,9.57675,12.8,0.39999999999999997,12.0,13.0,1.54015,0.0037636418533117592,1.535,1.54625,2.0,0.0,2.0,2.0,1.8596598325189724,7.494716855783733e-08,1.85965970918808,1.8596599170400205,2.499375e-06,1.8940232492426094e-22,2.4993749999999997e-06,2.499375e-06,4.99875e-06,5.35710673305771e-22,4.998749999999999e-06,4.998750000000001e-06,1.8504818400018848,0.09785001094429586,1.7213503000093624,1.9890169999853242
