label,status,method,noise_channel,noise_profile,noise_level,trial,seed,tau,duration_s,task_gain,position_weight,drift_weight,pcg_max_iters,mean_position_error_m,max_position_error_m,final_position_error_m,mean_joint_drift_norm_rad,max_abs_joint_drift_rad,final_joint_drift_norm_rad,mean_elncp_residual_norm,max_elncp_residual_norm,mean_stationarity_norm,mean_ncp_residual_norm,mean_pcg_iterations,max_pcg_iterations,mean_active_iterations,max_active_iterations,min_boundary_slack,mean_noise_norm,max_noise_norm,theta_initial_rad,theta_final_rad,theta_delta_rad,num_samples,wall_clock_run_s,result_dir
Method3 TVQP ELNCP PCG noise robustness offline sensor constant level=0 trial=0,ok,Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,0.0,0,20360509,0.005,20.0,198.0,15000.0,0.0005,8,0.00020433668773123088,0.0003074013271522352,6.079975503728618e-07,0.31012090517219704,0.4125530800102486,4.6671803940884594e-07,1.9095206686859357e-08,1.4811182048296623e-07,1.905586282222095e-08,8.670080869261876e-11,9.51525,13,1.5305,2,1.8596598459274203,0.0,0.0,"[0.0, -1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0]","[3.733707487205825e-09, -1.5707960593673411, 1.5707966859614881, 1.3078456194913931e-07, 1.570796340544376, -5.16095083272482e-15]","[3.733707487205825e-09, 2.674275554337413e-07, 3.591665915791964e-07, 1.3078456194913931e-07, 1.3749479332858527e-08, -5.16095083272482e-15]",4000,1.6940878999885172,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\representative\sensor_baseline_trial0
Method3 TVQP ELNCP PCG noise robustness offline sensor constant level=0 trial=1,ok,Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,0.0,1,20360510,0.005,20.0,198.0,15000.0,0.0005,8,0.00020433668773123088,0.0003074013271522352,6.079975503728618e-07,0.31012090517219704,0.4125530800102486,4.6671803940884594e-07,1.9095206686859357e-08,1.4811182048296623e-07,1.905586282222095e-08,8.670080869261876e-11,9.51525,13,1.5305,2,1.8596598459274203,0.0,0.0,"[0.0, -1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0]","[3.733707487205825e-09, -1.5707960593673411, 1.5707966859614881, 1.3078456194913931e-07, 1.570796340544376, -5.16095083272482e-15]","[3.733707487205825e-09, 2.674275554337413e-07, 3.591665915791964e-07, 1.3078456194913931e-07, 1.3749479332858527e-08, -5.16095083272482e-15]",4000,1.892773900006432,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\representative\sensor_baseline_trial1
Method3 TVQP ELNCP PCG noise robustness offline sensor constant level=0 trial=2,ok,Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,0.0,2,20360511,0.005,20.0,198.0,15000.0,0.0005,8,0.00020433668773123088,0.0003074013271522352,6.079975503728618e-07,0.31012090517219704,0.4125530800102486,4.6671803940884594e-07,1.9095206686859357e-08,1.4811182048296623e-07,1.905586282222095e-08,8.670080869261876e-11,9.51525,13,1.5305,2,1.8596598459274203,0.0,0.0,"[0.0, -1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0]","[3.733707487205825e-09, -1.5707960593673411, 1.5707966859614881, 1.3078456194913931e-07, 1.570796340544376, -5.16095083272482e-15]","[3.733707487205825e-09, 2.674275554337413e-07, 3.591665915791964e-07, 1.3078456194913931e-07, 1.3749479332858527e-08, -5.16095083272482e-15]",4000,1.904381000000285,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\representative\sensor_baseline_trial2
Method3 TVQP ELNCP PCG noise robustness offline sensor constant level=0 trial=3,ok,Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,0.0,3,20360512,0.005,20.0,198.0,15000.0,0.0005,8,0.00020433668773123088,0.0003074013271522352,6.079975503728618e-07,0.31012090517219704,0.4125530800102486,4.6671803940884594e-07,1.9095206686859357e-08,1.4811182048296623e-07,1.905586282222095e-08,8.670080869261876e-11,9.51525,13,1.5305,2,1.8596598459274203,0.0,0.0,"[0.0, -1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0]","[3.733707487205825e-09, -1.5707960593673411, 1.5707966859614881, 1.3078456194913931e-07, 1.570796340544376, -5.16095083272482e-15]","[3.733707487205825e-09, 2.674275554337413e-07, 3.591665915791964e-07, 1.3078456194913931e-07, 1.3749479332858527e-08, -5.16095083272482e-15]",4000,1.8668247000023257,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\representative\sensor_baseline_trial3
Method3 TVQP ELNCP PCG noise robustness offline sensor constant level=0 trial=4,ok,Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,0.0,4,20360513,0.005,20.0,198.0,15000.0,0.0005,8,0.00020433668773123088,0.0003074013271522352,6.079975503728618e-07,0.31012090517219704,0.4125530800102486,4.6671803940884594e-07,1.9095206686859357e-08,1.4811182048296623e-07,1.905586282222095e-08,8.670080869261876e-11,9.51525,13,1.5305,2,1.8596598459274203,0.0,0.0,"[0.0, -1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0]","[3.733707487205825e-09, -1.5707960593673411, 1.5707966859614881, 1.3078456194913931e-07, 1.570796340544376, -5.16095083272482e-15]","[3.733707487205825e-09, 2.674275554337413e-07, 3.591665915791964e-07, 1.3078456194913931e-07, 1.3749479332858527e-08, -5.16095083272482e-15]",4000,1.9009090999898035,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\representative\sensor_baseline_trial4
Method3 TVQP ELNCP PCG noise robustness offline sensor constant level=1e-06 trial=0,ok,Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,1e-06,0,20638958,0.005,20.0,198.0,15000.0,0.0005,8,0.00020432672649309792,0.0003074730067923271,6.190877056862591e-07,0.31012106778386084,0.4125536970221877,1.0463201454741402e-06,2.0275823701016672e-08,1.565778754080676e-07,2.02359681090903e-08,8.67008110306512e-11,9.5655,13,1.53925,2,1.859659945166585,1.0000000000000002e-06,1e-06,"[0.0, -1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0]","[2.620421632919967e-07, -1.5707954423729609, 1.5707959957878008, 3.07781900598652e-07, 1.5707961402243362, 6.938026673409356e-08]","[2.620421632919967e-07, 8.84421935687385e-07, -3.310070957329714e-07, 3.07781900598652e-07, -1.865705603343315e-07, 6.938026673409356e-08]",4000,1.9153210000076797,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\representative\sensor_constant_1e-06_trial0
Method3 TVQP ELNCP PCG noise robustness offline sensor constant level=1e-06 trial=1,ok,Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,1e-06,1,20578426,0.005,20.0,198.0,15000.0,0.0005,8,0.00020434744496219536,0.00030751922737362424,4.452520604754235e-07,0.3101206847245117,0.4125522286301737,9.654541002787552e-07,1.9397488428461477e-08,1.4731429328482996e-07,1.935763303937351e-08,8.670080758195724e-11,9.5745,12,1.5385,2,1.8596599336541775,1.0000000000000002e-06,1e-06,"[0.0, -1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0]","[-8.955524682502983e-08, -1.5707969107477642, 1.5707967943279064, 4.848982747534764e-07, 1.570796335773103, -3.5956427179769704e-07]","[-8.955524682502983e-08, -5.839528676165884e-07, 4.6753300986246416e-07, 4.848982747534764e-07, 8.978206400556132e-09, -3.5956427179769704e-07]",4000,1.8253982000169344,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\representative\sensor_constant_1e-06_trial1
Method3 TVQP ELNCP PCG noise robustness offline sensor constant level=1e-06 trial=2,ok,Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,1e-06,2,20941017,0.005,20.0,198.0,15000.0,0.0005,8,0.00020433018567693579,0.00030744302082550713,8.485663045459596e-07,0.3101211298063845,0.41255397351978473,1.2428897282757423e-06,1.892515470972886e-08,1.496317612930196e-07,1.8885127754762536e-08,8.670080885455849e-11,9.58775,14,1.5455,2,1.8596594224892233,1.0000000000000002e-06,1e-06,"[0.0, -1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0]","[-3.487509257435825e-07, -1.5707951658563606, 1.5707964673186705, 1.744241668437531e-07, 1.5707962431275717, 1.349016007022893e-07]","[-3.487509257435825e-07, 1.160938535971212e-06, 1.4052377395046278e-07, 1.744241668437531e-07, -8.366732484610395e-08, 1.349016007022893e-07]",4000,1.8954150000063237,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\representative\sensor_constant_1e-06_trial2
Method3 TVQP ELNCP PCG noise robustness offline sensor constant level=1e-06 trial=3,ok,Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,1e-06,3,20276367,0.005,20.0,198.0,15000.0,0.0005,8,0.00020433422440821415,0.0003074520358633006,9.532631523477157e-07,0.31012104090540843,0.41255379912861323,1.3540390001569362e-06,1.9123519731195245e-08,1.6321968899828284e-07,1.9083530217469965e-08,8.670080795517e-11,9.588,13,1.54525,2,1.859659239019343,1.0000000000000004e-06,1.0000000000000002e-06,"[0.0, -1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0]","[-5.999704553468069e-07, -1.5707953402806911, 1.5707969234508443, 3.7971965684370277e-07, 1.570796332696095, -5.160154566227045e-09]","[-5.999704553468069e-07, 9.86514205436606e-07, 5.966559477599276e-07, 3.7971965684370277e-07, 5.9011984188117594e-09, -5.160154566227045e-09]",4000,1.9029999999911524,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\representative\sensor_constant_1e-06_trial3
Method3 TVQP ELNCP PCG noise robustness offline sensor constant level=1e-06 trial=4,ok,Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,1e-06,4,21243076,0.005,20.0,198.0,15000.0,0.0005,8,0.0002043358944681111,0.00030756721200178995,8.022092129675708e-07,0.3101207111396161,0.4125527911795106,1.3026606818030156e-06,1.9141167177659866e-08,1.487364969928711e-07,1.9100605785338035e-08,8.670081231531414e-11,9.602,12,1.5485,2,1.8596598563545739,1.0000000000000002e-06,1e-06,"[0.0, -1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0]","[9.914730205151578e-08, -1.5707963482038616, 1.5707973912300766, 6.513836250177312e-07, 1.5707959797311408, -9.412858611199827e-08]","[9.914730205151578e-08, -2.1408965045210948e-08, 1.0644351799982132e-06, 6.513836250177312e-07, -3.470637557345668e-07, -9.412858611199827e-08]",4000,1.8789431999903172,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\representative\sensor_constant_1e-06_trial4
Method3 TVQP ELNCP PCG noise robustness offline sensor constant level=5e-06 trial=0,ok,Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,5e-06,0,20635932,0.005,20.0,198.0,15000.0,0.0005,8,0.00020438430752707,0.00030713320744042607,9.006688957248643e-07,0.31012033605662565,0.4125506528301355,5.074496859531137e-06,1.955238685780182e-08,1.4156184802394913e-07,1.951122868703839e-08,8.670080842293302e-11,9.61575,13,1.55425,2,1.8596589077555095,5.000000000000001e-06,5e-06,"[0.0, -1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0]","[-1.3673657322031812e-06, -1.570798486555864, 1.5707996885969369, -1.1662545835299384e-06, 1.5707971915315553, -2.4096949381090746e-06]","[-1.3673657322031812e-06, -2.1597609674017804e-06, 3.361802040302564e-06, -1.1662545835299384e-06, 8.647366587233307e-07, -2.4096949381090746e-06]",4000,1.7929830999928527,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\representative\sensor_constant_5e-06_trial0
Method3 TVQP ELNCP PCG noise robustness offline sensor constant level=5e-06 trial=1,ok,Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,5e-06,1,20372208,0.005,20.0,198.0,15000.0,0.0005,8,0.0002043818576569611,0.000307614911196654,5.764133696042023e-07,0.31012050767422034,0.41255110053808175,4.857058987608555e-06,1.9447169950915347e-08,1.4689153251962616e-07,1.940643337887489e-08,8.670080799435789e-11,9.59825,13,1.54975,2,1.8596588321858127,5.000000000000001e-06,5e-06,"[0.0, -1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0]","[-2.3950575128464957e-06, -1.5707980388390392, 1.570795069883064, 2.717649210751555e-06, 1.570793943423783, 5.269951803251177e-07]","[-2.3950575128464957e-06, -1.712044142676561e-06, -1.256911832614449e-06, 2.717649210751555e-06, -2.3833711135790026e-06, 5.269951803251177e-07]",4000,1.8178049999987707,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\representative\sensor_constant_5e-06_trial1
Method3 TVQP ELNCP PCG noise robustness offline sensor constant level=5e-06 trial=2,ok,Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,5e-06,2,20702001,0.005,20.0,198.0,15000.0,0.0005,8,0.0002043886600915204,0.0003080827582181857,8.247139778630627e-07,0.31012020585491623,0.41254965034779145,4.8209308218194304e-06,1.9125040621074716e-08,1.6478769439147243e-07,1.9083702468165673e-08,8.670081036791546e-11,9.65,13,1.563,2,1.8596599025167662,5.000000000000001e-06,5e-06,"[0.0, -1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0]","[4.691554312668045e-07, -1.570799489026308, 1.5707962578165093, 3.749801253413992e-07, 1.5707999087482283, -2.1401375646549086e-07]","[4.691554312668045e-07, -3.1622314113910477e-06, -6.897838722430549e-08, 3.749801253413992e-07, 3.5819533317216212e-06, -2.1401375646549086e-07]",4000,1.8848851999791805,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\representative\sensor_constant_5e-06_trial2
Method3 TVQP ELNCP PCG noise robustness offline sensor constant level=5e-06 trial=3,ok,Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,5e-06,3,20674267,0.005,20.0,198.0,15000.0,0.0005,8,0.00020429452663358837,0.0003088332774659167,2.76821478082522e-06,0.3101211903884909,0.412556395400689,5.446846276447984e-06,1.8466897614762e-08,1.6762099064656294e-07,1.842516437707516e-08,8.670080870139932e-11,9.68575,13,1.5725,2,1.8596596512374768,5.000000000000001e-06,5e-06,"[0.0, -1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0]","[1.6996600907085145e-07, -1.5707927439881735, 1.5708003198717237, 4.664492212967656e-07, 1.5707955273128846, -3.651011888756313e-08]","[1.6996600907085145e-07, 3.5828067230792016e-06, 3.993076827191189e-06, 4.664492212967656e-07, -7.994820119261448e-07, -3.651011888756313e-08]",4000,1.8489823999989312,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\representative\sensor_constant_5e-06_trial3
Method3 TVQP ELNCP PCG noise robustness offline sensor constant level=5e-06 trial=4,ok,Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,5e-06,4,20399942,0.005,20.0,198.0,15000.0,0.0005,8,0.00020436152967343789,0.0003088337601249502,1.2574979227034085e-06,0.31012004699857015,0.41254958579007983,4.781607962203956e-06,1.815898266700736e-08,1.461757262815917e-07,1.8116352569254962e-08,8.670080989682898e-11,9.719,13,1.5845,2,1.8596575839928091,5.000000000000001e-06,5e-06,"[0.0, -1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0]","[1.6929616478067822e-06, -1.5707995535831336, 1.5707956526088682, 1.3004775050062076e-06, 1.5707941071097533, -1.5851569510619277e-06]","[1.6929616478067822e-06, -3.2267882370540235e-06, -6.741860283376866e-07, 1.3004775050062076e-06, -2.2196851432454423e-06, -1.5851569510619277e-06]",4000,1.911816000007093,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\representative\sensor_constant_5e-06_trial4
Method3 TVQP ELNCP PCG noise robustness offline sensor constant level=1e-05 trial=0,ok,Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,1e-05,0,20487125,0.005,20.0,198.0,15000.0,0.0005,8,0.00020423378922482206,0.00031035339802315526,3.5099764456253423e-06,0.3101211337426834,0.4125571144117892,1.0172435058991766e-05,1.8688024739517268e-08,1.3911192937017734e-07,1.8646223267011677e-08,8.670080886380072e-11,9.6605,13,1.568,2,1.8596537502663242,1.0000000000000003e-05,1e-05,"[0.0, -1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0]","[8.91589355012829e-06, -1.5707920249711702, 1.5707981834806852, -1.5664636346314322e-07, 1.5707976370056282, -5.395530531292981e-07]","[8.91589355012829e-06, 4.301823726349241e-06, 1.8566857886703758e-06, -1.5664636346314322e-07, 1.3102107316864675e-06, -5.395530531292981e-07]",4000,1.8475320000143256,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\representative\sensor_constant_1e-05_trial0
Method3 TVQP ELNCP PCG noise robustness offline sensor constant level=1e-05 trial=1,ok,Method 3: continuous TVQP + ELNCP + PCG,sensor,constant,1e-05,1,20587084,0.005,20.0,198.0,15000.0,0.0005,8,0.00020442936319158822,0.00030685318427061715,2.574372871576567e-06,0.3101211553453149,0.4125526700149589,1.0135768715509921e-05,1.9020046928371178e-08,1.6426146087220954e-07,1.897838588521176e-08,8.670081051097691e-11,9.6455,13,1.5625,2,1.8596549135273026,1.0000000000000003e-05,1e-05,"[0.0, -1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0]","[-5.6401976714269736e-06, -1.5707964693626868, 1.5708023024019955, -4.7487572036922614e-06, 1.5707970389561061, -3.483662345587577e-06]","[-5.6401976714269736e-06, -1.4256779024002242e-07, 5.97560709891809e-06, -4.7487572036922614e-06, 7.121612095595253e-07, -3.483662345587577e-06]",4000,1.753942500014091,C:\Users\lyx\Desktop\sci\code\project_method3_tvqp_elncp_pcg_noise_robustness\results\offline_20s_full\representative\sensor_constant_1e-05_trial1
