"stage","trajectory","task_gain","drift_gain","solver_gamma","activation_power","dlccznn_inner_steps","mean_position_error_m","final_position_error_m","final_joint_drift_norm_rad","max_position_error_m","runtime_s","path"
"stage1_task_drift","small_circle","180","10","3072","0.8","60","1.03418160129622E-05","8.33115390105704E-07","3.03485215006771E-06","3.89225071429491E-05","6.28799900000013","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t180_d10_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","180","15","3072","0.8","60","1.38517580460376E-05","9.00059650153513E-07","3.75050653738915E-06","5.25475821505187E-05","5.77655830000003","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t180_d15_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","180","20","3072","0.8","60","1.80659585655599E-05","1.12759436299187E-06","5.21352007781161E-06","6.52641915232237E-05","6.09641790000023","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t180_d20_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","180","30","3072","0.8","60","2.9025896892551E-05","1.15076445794485E-06","8.29767294952133E-06","0.00011569402283197","5.90012679999927","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t180_d30_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","180","40","3072","0.8","60","4.08923896117758E-05","1.54790201884313E-06","1.46593998960466E-05","0.000169407567112649","5.9097705000022","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t180_d40_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","180","60","3072","0.8","60","7.00730472378504E-05","9.33976719023409E-06","0.000148009365856934","0.000250258367832684","5.90236239999649","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t180_d60_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","220","10","3072","0.8","60","8.58190518702192E-06","6.67976854877231E-07","2.38868216389761E-06","3.01547139163696E-05","5.84061819999624","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t220_d10_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","220","15","3072","0.8","60","1.17549491875868E-05","6.96406924556195E-07","2.78825504430284E-06","5.24733869934287E-05","5.79054339999857","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t220_d15_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","220","20","3072","0.8","60","1.53229495959229E-05","8.57330600941522E-07","3.84830434264163E-06","6.28402623261475E-05","5.77659099999437","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t220_d20_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","220","30","3072","0.8","60","2.44688961340484E-05","8.54256127489577E-07","7.11550206989277E-06","9.55540490516446E-05","6.17130670000188","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t220_d30_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","220","40","3072","0.8","60","3.42460351393748E-05","1.19085231256448E-06","1.35336995391178E-05","0.000137596243362812","5.90026729999954","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t220_d40_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","220","60","3072","0.8","60","5.86177952087074E-05","6.74521196602706E-06","0.000159685319902491","0.000211028679475527","5.76782239999739","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t220_d60_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","260","10","3072","0.8","60","7.59967955117893E-06","5.56364748158212E-07","1.97489942139687E-06","3.25132678766705E-05","5.7440013000014","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t260_d10_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","260","15","3072","0.8","60","1.04362358511538E-05","5.65600137748022E-07","2.19170507970043E-06","4.06095870239717E-05","5.77416549999907","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t260_d15_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","260","20","3072","0.8","60","1.36053289132317E-05","7.59481884650837E-07","3.35183130762519E-06","6.51817096093975E-05","5.7470977999983","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t260_d20_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","260","30","3072","0.8","60","2.13472006541429E-05","6.65583086209581E-07","6.45539596337828E-06","0.000115078280877128","5.78313570000319","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t260_d30_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","260","40","3072","0.8","60","2.98579665453226E-05","8.33746102756264E-07","1.50026657977199E-05","0.000139741026006458","6.23131470000226","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t260_d40_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","260","60","3072","0.8","60","5.08805050640832E-05","7.41151553463756E-06","0.000156751790225576","0.000185794843355796","7.95188529999723","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t260_d60_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","300","10","3072","0.8","60","6.87445313999098E-06","4.75747089040091E-07","1.69448181892836E-06","3.48871600758129E-05","7.22268430000258","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t300_d10_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","300","15","3072","0.8","60","9.60074823901032E-06","4.75632195805811E-07","1.79454118820321E-06","5.83097618342499E-05","6.59135719999904","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t300_d15_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","300","20","3072","0.8","60","1.28448327834847E-05","6.25943988462492E-07","2.75679481360726E-06","7.58053475657504E-05","6.21947750000254","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t300_d20_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","300","30","3072","0.8","60","1.95896671545746E-05","5.34512920760686E-07","6.05097614508627E-06","8.81936698547649E-05","7.33887390000018","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t300_d30_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","300","40","3072","0.8","60","2.72117664033311E-05","7.77960712528188E-07","1.00743820047658E-05","0.000133018098747335","7.90934060000291","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t300_d40_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","300","60","3072","0.8","60","4.49821691745238E-05","8.20379415993821E-06","0.000159235138975357","0.000195243813133836","7.47188020000613","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t300_d60_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","340","10","3072","0.8","60","6.75368645287927E-06","4.15261068181659E-07","1.49800486701554E-06","4.15478460756007E-05","7.44520100000227","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t340_d10_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","340","15","3072","0.8","60","9.5296765699005E-06","4.64373618929315E-07","1.80115812100177E-06","3.95002347642856E-05","6.72998559999542","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t340_d15_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","340","20","3072","0.8","60","1.25381290933954E-05","4.81788210543604E-07","2.00956260531295E-06","7.78322885338751E-05","5.94520120000379","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t340_d20_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","340","30","3072","0.8","60","1.90709852818269E-05","4.41228108264847E-07","5.79652457781279E-06","8.99556630524326E-05","5.8350752999977","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t340_d30_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","340","40","3072","0.8","60","2.67263960180362E-05","5.88846050472769E-07","1.0013900950234E-05","0.000128520225151655","6.2503599000047","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t340_d40_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","small_circle","340","60","3072","0.8","60","4.40660651399216E-05","7.76706272342286E-06","0.000173561206160924","0.000180308727353892","6.47779620000074","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\small_circle_t340_d60_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage1_task_drift","line","180","10","3072","0.8","60","1.01882762153667E-05","2.69321700083068E-06","1.24875747612298E-05","2.29572018349686E-05","10.1446701000023","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage1_task_drift\line_t180_d10_g3072_p080_ns60\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
