task_gain,drift_gain,solver_gamma,activation_power,dlccznn_inner_steps,avg_mean_position_error_m,max_mean_position_error_m,avg_final_joint_drift_norm_rad,max_final_joint_drift_norm_rad,avg_final_position_error_m
340.0,10.0,2048.0,0.85,60,5.5319967285349705e-06,5.65328135746251e-06,4.924971348075616e-07,5.3632673939135e-07,1.1200869972339126e-07
300.0,10.0,2048.0,0.85,60,5.95899237217839e-06,6.08527043309842e-06,5.461351511509589e-07,5.66235829916052e-07,1.4018350087398534e-07
340.0,10.0,3072.0,0.85,60,4.85271633429421e-06,5.03739548375381e-06,7.143187726546795e-07,1.05716151405786e-06,2.0648933724020914e-07
340.0,10.0,4096.0,0.85,60,4.957932165051365e-06,5.11198633723201e-06,6.48978497712145e-07,1.12344604347328e-06,1.118192424415356e-07
300.0,10.0,3072.0,0.85,60,5.03579630631793e-06,5.21748089213303e-06,7.816644223828125e-07,1.12639202079784e-06,2.2371175580584501e-07
300.0,10.0,2048.0,0.85,40,8.305531454915624e-06,8.51097699043878e-06,8.937124169274966e-07,1.29959036247266e-06,3.03970316787968e-07
340.0,10.0,4608.0,0.85,60,5.286483711480215e-06,5.33943368679788e-06,9.478404309093114e-07,1.30210197389295e-06,2.13300186652971e-07
300.0,10.0,4096.0,0.85,60,5.017198564080889e-06,5.20550154703289e-06,7.653167785724029e-07,1.38469280593707e-06,1.610160850848285e-07
300.0,10.0,4608.0,0.85,60,5.42402322303126e-06,5.53662793178712e-06,1.2394926608099126e-06,1.8366478941262e-06,2.573694604598145e-07
340.0,10.0,2048.0,0.85,40,7.779931791963376e-06,7.94854348913897e-06,1.196704652332751e-06,1.95702629224256e-06,2.847746554129895e-07
340.0,10.0,2048.0,0.8,60,5.875866477737879e-06,6.19653208642659e-06,1.5603922268194376e-06,2.40783638466305e-06,2.98993566508588e-07
340.0,10.0,3072.0,0.85,40,7.82516796763345e-06,7.97024992266994e-06,1.6559592404249586e-06,2.61928681400061e-06,3.5645404185845904e-07
300.0,10.0,3072.0,0.8,60,6.89506237247904e-06,6.9156716049671e-06,2.294966372715125e-06,2.89545092650189e-06,6.332918296711445e-07
300.0,10.0,3072.0,0.85,40,7.898006641794575e-06,8.10228134105374e-06,1.8448148763232175e-06,3.13961211162042e-06,4.468776295385805e-07
340.0,10.0,4096.0,0.85,40,9.86188194397113e-06,1.04064215678955e-05,2.8160658055851197e-06,3.55735592481497e-06,5.623775327437785e-07
300.0,10.0,2048.0,0.8,60,5.914076669961975e-06,6.24653179239385e-06,2.3198166554799837e-06,3.78926842198443e-06,5.23917951595952e-07
340.0,10.0,4608.0,0.85,40,1.239484700458235e-05,1.34261837578531e-05,3.7698935972744654e-06,4.29904506121124e-06,6.70390301677259e-07
340.0,10.0,3072.0,0.8,60,6.655429567521285e-06,6.75368645287927e-06,2.99281660779325e-06,4.48762834857096e-06,7.179767390716645e-07
300.0,10.0,4096.0,0.85,40,1.074281312004485e-05,1.11753962159545e-05,3.4367168348912747e-06,4.70733695459474e-06,7.29959856680255e-07
300.0,10.0,4608.0,0.85,40,1.372556939251575e-05,1.51067875238728e-05,4.7673087726350495e-06,6.18102257787462e-06,9.66533960783962e-07
340.0,10.0,4096.0,0.8,60,9.751342001493435e-06,1.03911779791191e-05,4.744249108001155e-06,6.50681135742075e-06,1.1365435390306445e-06
300.0,10.0,2048.0,0.8,40,9.902058114446196e-06,1.00989681566052e-05,4.608005760407885e-06,7.0092430375839e-06,9.70767354239291e-07
340.0,10.0,2048.0,0.8,40,9.652361935386135e-06,9.77410969000901e-06,4.532837858606355e-06,7.5739358783266e-06,9.265408015061935e-07
340.0,10.0,4608.0,0.8,60,1.19504859856479e-05,1.31895969082597e-05,5.849606517931855e-06,7.63271891235475e-06,1.398691008950035e-06
300.0,10.0,4096.0,0.8,60,1.0607951265933451e-05,1.13213353060245e-05,5.4560126094121055e-06,7.64916328712229e-06,1.3179691009871869e-06
340.0,10.0,2048.0,0.75,60,8.66980236325358e-06,8.80761150882709e-06,5.708172436795059e-06,8.56630658646566e-06,1.312638234440753e-06
300.0,10.0,4608.0,0.8,60,1.314253431685215e-05,1.49246763166398e-05,6.623319493455395e-06,8.84328699587453e-06,1.61035230897924e-06
300.0,10.0,2048.0,0.75,60,8.52242414749769e-06,8.54697232790716e-06,6.054836711437405e-06,9.65539213421059e-06,1.4065483396870484e-06
340.0,10.0,3072.0,0.8,40,1.36013007774928e-05,1.44240868075124e-05,7.054345898237695e-06,9.79534877201354e-06,1.6374623955183198e-06
340.0,10.0,4096.0,0.8,40,2.156185861229955e-05,2.52222803158842e-05,1.0903559237626331e-05,1.26488328228727e-05,2.6260139680876702e-06
300.0,10.0,3072.0,0.8,40,1.45883997969204e-05,1.56893226884154e-05,9.020192545545346e-06,1.32833429574406e-05,2.03394733831038e-06
340.0,10.0,3072.0,0.75,60,1.278329318263825e-05,1.36807952103775e-05,9.778503537500935e-06,1.40416160485995e-05,2.4839423067366552e-06
300.0,10.0,3072.0,0.75,60,1.3823526546853651e-05,1.48123466650892e-05,1.1549930659966845e-05,1.63723426591947e-05,2.65428428640022e-06
340.0,10.0,4096.0,0.75,60,1.7992183929421498e-05,2.01645019245724e-05,1.5186402135897302e-05,1.81128090632673e-05,3.52364341647847e-06
300.0,10.0,4096.0,0.8,40,2.410246058516695e-05,2.80331357695899e-05,1.448514132566509e-05,1.91723871635882e-05,3.2231614901823948e-06
340.0,10.0,4608.0,0.8,40,2.233175946012105e-05,2.51430637736317e-05,1.54304870426413e-05,1.92389773174564e-05,3.5152467357058754e-06
340.0,10.0,4608.0,0.75,60,1.8915003050335047e-05,2.06119916855663e-05,1.53262958533821e-05,2.03224653253889e-05,4.50498400033773e-06
300.0,10.0,4096.0,0.75,60,1.997931821932755e-05,2.29023611374782e-05,1.67696919150657e-05,2.08128969156164e-05,4.15616812511524e-06
300.0,10.0,4608.0,0.8,40,2.500152982775305e-05,2.80816801598421e-05,1.716593276321065e-05,2.17510106011585e-05,4.023717360770595e-06
340.0,10.0,2048.0,0.75,40,1.49901231130114e-05,1.54655698521716e-05,1.3594361157918685e-05,2.20466461555292e-05,3.1510873663529852e-06
300.0,10.0,2048.0,0.75,40,1.62530471215763e-05,1.70028272803432e-05,1.4236804841008835e-05,2.24993832601871e-05,3.1094769359389296e-06
300.0,10.0,4608.0,0.75,60,2.0877199177006e-05,2.30067942017326e-05,2.053363245589155e-05,2.33227872075645e-05,4.800174442290506e-06
340.0,10.0,3072.0,0.75,40,2.21634202115582e-05,2.37579666125224e-05,1.7040183286231064e-05,2.42307934800347e-05,4.242524759963435e-06
300.0,10.0,3072.0,0.75,40,2.5102886934496202e-05,2.67487669197757e-05,2.29145662770129e-05,3.25529828937359e-05,5.44935738752205e-06
340.0,10.0,4096.0,0.75,40,2.755811218792465e-05,2.80320956502216e-05,2.697507568539955e-05,3.72782477015237e-05,7.866613583039326e-06
