"stage","trajectory","task_gain","drift_gain","solver_gamma","activation_power","dlccznn_inner_steps","mean_position_error_m","final_position_error_m","final_joint_drift_norm_rad","max_position_error_m","runtime_s","path"
"stage2_solver_coupling","small_circle","300","10","2048","0.75","40","1.55032669628094E-05","1.69417200640809E-06","5.97422642183057E-06","9.27565586149835E-05","4.04939469999954","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g2048_p075_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","2048","0.75","60","8.54697232790716E-06","8.06827318171687E-07","2.45428128866422E-06","3.87587457882947E-05","6.16577560000587","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g2048_p075_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","2048","0.8","40","1.00989681566052E-05","5.27166378088112E-07","2.20676848323187E-06","5.777980500159E-05","4.68878929999482","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g2048_p080_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","2048","0.8","60","6.24653179239385E-06","2.00443559293394E-07","8.50364888975537E-07","2.93760148787669E-05","6.45001590000174","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g2048_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","2048","0.85","40","8.51097699043878E-06","9.1496886943817E-08","4.87834471382333E-07","3.58201451828501E-05","4.06565699999919","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g2048_p085_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","2048","0.85","60","6.08527043309842E-06","9.97087643504047E-08","5.26034472385866E-07","2.72435494577827E-05","6.51370410000527","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g2048_p085_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","3072","0.75","40","2.34570069492167E-05","4.06471354301838E-06","1.32761496602899E-05","0.000129160994100773","4.10585100000026","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g3072_p075_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","3072","0.75","60","1.28347064286181E-05","1.81341572446696E-06","6.72751866073899E-06","5.24581717504539E-05","6.56831360000069","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g3072_p075_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","3072","0.8","40","1.34874769054254E-05","1.2841889168343E-06","4.75704213365009E-06","6.36782619093693E-05","5.05966519999492","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g3072_p080_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","3072","0.8","60","6.87445313999098E-06","4.75747089040091E-07","1.69448181892836E-06","3.48871600758129E-05","7.11601620000147","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","3072","0.85","40","8.10228134105374E-06","1.49322647253214E-07","5.50017641026015E-07","5.15415978361056E-05","4.09125580000546","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g3072_p085_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","3072","0.85","60","5.21748089213303E-06","8.3199618767695E-08","4.36936823967785E-07","2.52071810464001E-05","5.99552509999921","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g3072_p085_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","4096","0.75","40","3.09829938801108E-05","7.00122944904381E-06","2.32212965585064E-05","0.000106293380635806","4.13568899999518","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g4096_p075_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","4096","0.75","60","1.70562753011769E-05","3.65220438618119E-06","1.2726486914515E-05","7.34334007216547E-05","6.11693019999802","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g4096_p075_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","4096","0.8","40","2.0171785400744E-05","2.5512255680074E-06","9.79789548774198E-06","0.0001144041657427","4.02536269999837","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g4096_p080_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","4096","0.8","60","9.8945672258424E-06","9.32328324401684E-07","3.26286193170192E-06","3.78558436598282E-05","5.92811839999922","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g4096_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","4096","0.85","40","1.03102300241352E-05","4.4243244724833E-07","2.16609671518781E-06","4.73258167159228E-05","4.00036429999454","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g4096_p085_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","4096","0.85","60","5.20550154703289E-06","3.0168545014579E-08","1.45940751207736E-07","2.96730368703525E-05","6.68746470000042","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g4096_p085_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","4608","0.75","40","3.32341785212907E-05","8.92825022353108E-06","2.89009592534098E-05","0.000157659399251456","5.88496509999823","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g4608_p075_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","4608","0.75","60","1.87476041522794E-05","4.21994408162658E-06","1.77444777042186E-05","9.6968812878022E-05","7.29395910000312","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g4608_p075_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","4608","0.8","40","2.1921379495664E-05","3.34389197042767E-06","1.25808549252628E-05","0.000168422936881606","5.24451200000476","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g4608_p080_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","4608","0.8","60","1.13603923170645E-05","1.24011566500325E-06","4.40335199103626E-06","4.73913087272613E-05","6.71496320000006","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g4608_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","4608","0.85","40","1.23443512611587E-05","6.51675192021194E-07","3.35359496739548E-06","5.0591439594288E-05","4.82371150000108","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g4608_p085_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","300","10","4608","0.85","60","5.53662793178712E-06","1.55028457783025E-07","6.42337427493625E-07","2.3547042559081E-05","6.74151269999857","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t300_d10_g4608_p085_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","2048","0.75","40","1.45146763738512E-05","1.47805722680631E-06","5.14207616030817E-06","9.03165642331093E-05","4.5666612999994","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g2048_p075_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","2048","0.75","60","8.80761150882709E-06","8.35667369839786E-07","2.85003828712446E-06","5.07533042666977E-05","6.6739258000016","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g2048_p075_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","2048","0.8","40","9.77410969000901E-06","4.05311238829067E-07","1.49173983888611E-06","5.22929892297592E-05","4.80022600000666","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g2048_p080_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","2048","0.8","60","6.19653208642659E-06","1.73108516101152E-07","7.12948068975825E-07","3.26797707961176E-05","6.94958339999721","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g2048_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","2048","0.85","40","7.94854348913897E-06","8.23989749048641E-08","4.36383012422942E-07","4.06592906274767E-05","4.71473990000231","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g2048_p085_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","2048","0.85","60","5.65328135746251E-06","8.52557684190105E-08","4.48667530223773E-07","2.39319592519583E-05","6.04695949999586","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g2048_p085_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","3072","0.75","40","2.0568873810594E-05","3.13137791068405E-06","9.84957309242743E-06","0.000115922274600578","4.00848440000118","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g3072_p075_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","3072","0.75","60","1.1885791154899E-05","1.964912633192E-06","5.51539102640237E-06","5.8277968101049E-05","6.13663519999682","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g3072_p075_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","3072","0.8","40","1.27785147474732E-05","1.1238080258124E-06","4.31334302446185E-06","7.39064484967237E-05","4.3082260999945","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g3072_p080_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","3072","0.8","60","6.75368645287927E-06","4.15261068181659E-07","1.49800486701554E-06","4.15478460756007E-05","5.92271579999942","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g3072_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
