"candidate","trajectory","task_gain","drift_gain","solver_gamma","activation_power","dlccznn_inner_steps","mean_position_error_m","final_position_error_m","final_joint_drift_norm_rad","max_position_error_m","runtime_s","path"
"best_balanced_t340_d10_g2048_p085_ns60","small_circle","340","10","2048","0.85","60","2.77604882508602E-06","6.63171301874149E-08","3.57840719342166E-07","1.46127593573613E-05","11.5374366999968","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage3_five_shape_offline\best_balanced_t340_d10_g2048_p085_ns60\small_circle\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"best_balanced_t340_d10_g2048_p085_ns60","line","340","10","2048","0.85","60","2.6130463072832E-06","1.12588283434505E-07","4.37684548516625E-07","7.29742215624914E-06","11.2154076999941","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage3_five_shape_offline\best_balanced_t340_d10_g2048_p085_ns60\line\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"best_balanced_t340_d10_g2048_p085_ns60","circle","340","10","2048","0.85","60","5.57669948891822E-06","7.26697744532875E-08","3.89550619972481E-07","2.51349780721964E-05","11.1060165000017","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage3_five_shape_offline\best_balanced_t340_d10_g2048_p085_ns60\circle\single\circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"best_balanced_t340_d10_g2048_p085_ns60","ellipse","340","10","2048","0.85","60","6.49260181749465E-06","7.47524612755966E-08","3.99739373310166E-07","3.46590946759972E-05","12.8049360000005","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage3_five_shape_offline\best_balanced_t340_d10_g2048_p085_ns60\ellipse\single\ellipse\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"best_balanced_t340_d10_g2048_p085_ns60","figure8","340","10","2048","0.85","60","5.18127906784232E-06","7.13781999653001E-08","3.83161294607945E-07","3.90504151033789E-05","13.566891399998","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage3_five_shape_offline\best_balanced_t340_d10_g2048_p085_ns60\figure8\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stronger_solver_t340_d10_g3072_p085_ns60","small_circle","340","10","3072","0.85","60","2.53057186695057E-06","5.49772064388053E-08","2.96075311500923E-07","1.42969897939103E-05","13.3982520999998","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage3_five_shape_offline\stronger_solver_t340_d10_g3072_p085_ns60\small_circle\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stronger_solver_t340_d10_g3072_p085_ns60","line","340","10","3072","0.85","60","2.37158199175394E-06","8.65215532531632E-08","2.93668847699165E-07","8.77473538533365E-06","14.0054344000018","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage3_five_shape_offline\stronger_solver_t340_d10_g3072_p085_ns60\line\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stronger_solver_t340_d10_g3072_p085_ns60","circle","340","10","3072","0.85","60","4.9950414423602E-06","6.02118169298752E-08","3.21998505648351E-07","2.97438726089894E-05","14.4491014000014","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage3_five_shape_offline\stronger_solver_t340_d10_g3072_p085_ns60\circle\single\circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stronger_solver_t340_d10_g3072_p085_ns60","ellipse","340","10","3072","0.85","60","5.76924131836163E-06","6.19282823609525E-08","3.30314089954461E-07","3.50234775343667E-05","13.5359870000029","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage3_five_shape_offline\stronger_solver_t340_d10_g3072_p085_ns60\ellipse\single\ellipse\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stronger_solver_t340_d10_g3072_p085_ns60","figure8","340","10","3072","0.85","60","4.60839516333471E-06","5.913933031087E-08","3.16738014357968E-07","3.91032329792579E-05","13.1193364999999","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage3_five_shape_offline\stronger_solver_t340_d10_g3072_p085_ns60\figure8\single\figure8\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
