mode,shape,gamma,ns,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,runtime_s,summary_path
offline,small_circle,80,1,0.0002496004592984628,4.218741913658144e-07,2.2381166668878666e-06,1.1600394999986747,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g80_ns1\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,small_circle,80,5,6.635857372294421e-05,2.8517453622636256e-07,1.4881597614295732e-06,1.9021448000057717,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g80_ns5\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,small_circle,80,10,4.0548943209701876e-05,2.834814804462252e-07,1.4783860051741513e-06,2.743209400003252,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g80_ns10\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,small_circle,80,20,3.156340534586248e-05,2.837537446855852e-07,1.480207911514559e-06,4.508689299997059,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g80_ns20\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,small_circle,80,40,2.857004506322819e-05,2.8389800751967347e-07,1.4811657552573524e-06,7.894909700000426,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g80_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,small_circle,80,60,2.8504707219188377e-05,2.839470017229791e-07,1.481490183801555e-06,11.51691039999423,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g80_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,small_circle,200,1,0.00019463692752038237,2.67060130469754e-06,1.4159602153899066e-05,1.1637279999995371,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g200_ns1\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,small_circle,200,5,5.4616957295482814e-05,1.2601631442252617e-07,4.398458806286343e-07,1.8456380999996327,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g200_ns5\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,small_circle,200,10,3.0465915870793753e-05,1.41136368972964e-07,6.298560523347725e-07,2.811670700000832,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g200_ns10\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,small_circle,200,20,1.8179910634215007e-05,1.4144884469211496e-07,6.325321015958968e-07,4.769300899999507,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g200_ns20\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,small_circle,200,40,1.2549235647707297e-05,1.41495076919823e-07,6.33023640286691e-07,8.630155499995453,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g200_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,small_circle,200,60,1.1309796476426922e-05,1.4151164099874263e-07,6.331966978166562e-07,13.461447900001076,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g200_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,small_circle,500,1,0.00037728841018253457,2.270313561294467e-05,5.498551825088191e-05,1.1470755000045756,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g500_ns1\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,small_circle,500,5,4.2168096581862937e-05,9.262923092735164e-08,2.6458521351673977e-07,1.8123044000021764,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g500_ns5\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,small_circle,500,10,2.3665924885340865e-05,8.858351668225678e-08,2.541506563310824e-07,2.699965700005123,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g500_ns10\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,small_circle,500,20,1.39765865086012e-05,8.900123558691938e-08,2.5433391655126444e-07,4.701140299999679,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g500_ns20\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,small_circle,500,40,8.087496743672857e-06,8.898618605522668e-08,2.543085384187007e-07,8.65328359999694,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g500_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,small_circle,500,60,6.554061178279643e-06,8.898089006183075e-08,2.5430181865244616e-07,12.477156100001594,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\small_circle\g500_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,80,1,0.0002599948402815112,3.048650046335167e-05,0.00015601107645034858,1.109542499994859,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g80_ns1\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,80,5,5.754439404639172e-05,1.1466142245628037e-06,5.630269339363274e-06,1.7731605999942985,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g80_ns5\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,80,10,3.422197842205288e-05,9.733744799904885e-07,4.117987193676766e-06,2.6699434999973164,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g80_ns10\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,80,20,3.190528841952823e-05,9.87325095379534e-07,4.234566826265353e-06,4.6908877000023494,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g80_ns20\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,80,40,3.178542633318043e-05,9.88469833490969e-07,4.240428944949463e-06,8.726031400001375,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g80_ns40\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,80,60,3.1748737201634714e-05,9.888529858483772e-07,4.242402293196925e-06,12.550548399995023,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g80_ns60\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,200,1,0.0002088011866512704,9.271887027142796e-06,4.986252423021844e-05,1.1135711000024457,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g200_ns1\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,200,5,5.3165865901144485e-05,7.086998525661786e-07,3.823750710538042e-06,1.7768225999971037,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g200_ns5\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,200,10,2.7591857704302693e-05,9.196992604223574e-07,4.8128482707155665e-06,2.6134670000028564,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g200_ns10\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,200,20,1.6692512065474416e-05,9.194723314021421e-07,4.815370884696159e-06,4.726279299997259,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g200_ns20\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,200,40,1.1349984121426512e-05,9.212695667702243e-07,4.8289263801096815e-06,8.796024300005229,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g200_ns40\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,200,60,1.132036365849918e-05,9.214757819642965e-07,4.830094162982248e-06,12.840912799998478,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g200_ns60\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,500,1,0.00040894233890952905,5.786266066948031e-05,0.00028144335210108774,1.0931720000007772,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g500_ns1\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,500,5,4.086708903579811e-05,1.386398641938628e-06,7.779223194031944e-06,1.76072959999874,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g500_ns5\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,500,10,2.3909258906907795e-05,1.2333876318808535e-06,6.623704329788726e-06,2.658306099998299,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g500_ns10\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,500,20,1.3214228267775483e-05,8.266301980630548e-07,4.8740581986687484e-06,4.650832300001639,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g500_ns20\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,500,40,7.182981340168099e-06,8.390374064940944e-07,4.932174337753419e-06,8.665898200000811,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g500_ns40\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,line,500,60,6.305863356689887e-06,8.391613121896793e-07,4.932680564375949e-06,12.561469799999031,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\line\g500_ns60\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
