shape,gamma,ns,mean_position_error_m,final_position_error_m,max_position_error_m,final_joint_drift_norm_rad,max_joint_drift_rad,runtime_s,avg_step_time_s,summary_path
circle,500,20,0.00019457911745146328,0.00014482935675583724,0.00039200007565054387,0.007883439668424752,0.006855978979729116,185.4002851999976,0.0927001425999988,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_live\circle\g500_ns20\single\circle\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json
circle,500,40,0.00017832090807889868,0.00014485154541066462,0.00030545980812260584,0.007883216112979895,0.00685529166366905,184.49021930000163,0.09224510965000081,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_live\circle\g500_ns40\single\circle\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json
circle,500,60,0.00017335973450582706,0.00014484844872232692,0.0002873778619360836,0.007883186132078886,0.006855256739072502,184.7290467999992,0.09236452339999959,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_live\circle\g500_ns60\single\circle\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json
ellipse,500,20,0.00020245279770528761,0.00014485247376719204,0.00037741245507343037,0.007883949527964666,0.006856701686047018,185.1800521000041,0.09259002605000205,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_live\ellipse\g500_ns20\single\ellipse\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json
ellipse,500,40,0.00018358373369181566,0.00014483687120189867,0.00030750005433778177,0.007883414332770938,0.00685555802192539,186.68162129999837,0.09334081064999919,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_live\ellipse\g500_ns40\single\ellipse\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json
ellipse,500,60,0.00017797647030531454,0.00014485214078773073,0.00028743181636150074,0.00788350186829784,0.00685575685929507,184.20186030000332,0.09210093015000166,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_live\ellipse\g500_ns60\single\ellipse\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json
figure8,500,20,0.00018449701039809834,0.00014486815511712112,0.00040620505664365686,0.007882475463480889,0.00685523624997586,185.54930169999716,0.09277465084999859,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_live\figure8\g500_ns20\single\figure8\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json
figure8,500,40,0.00016805163639002657,0.00014482663523929075,0.0003149116837155919,0.007882491476002488,0.006854616920463741,185.4139690000011,0.09270698450000055,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_live\figure8\g500_ns40\single\figure8\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json
figure8,500,60,0.00016435052109916836,0.00014481994479618673,0.00029967398902106457,0.007882491278899555,0.006854517734609544,185.1526559000049,0.09257632795000245,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_live\figure8\g500_ns60\single\figure8\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json
line,500,20,0.00014991014745806725,0.00014477333484635798,0.0001688606340245929,0.007879492259919196,0.006836816086433828,185.45065089999844,0.09272532544999922,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_live\line\g500_ns20\single\line\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json
line,500,40,0.0001439074779856814,0.00014481512392965773,0.00015910822365177343,0.007880135881626374,0.006842133007012308,185.91891380000015,0.09295945690000008,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_live\line\g500_ns40\single\line\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json
line,500,60,0.0001422729548429372,0.00014476881914927877,0.00015895141010922414,0.007880200493679216,0.0068432706175372005,185.7831770000048,0.0928915885000024,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_live\line\g500_ns60\single\line\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json
small_circle,500,20,0.00016009409737726343,0.0001448386359288856,0.00023584391724278746,0.007883083105002098,0.006855140323750675,185.83406729999842,0.09291703364999922,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_live\small_circle\g500_ns20\single\small_circle\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json
small_circle,500,40,0.0001534221197635619,0.00014490947721903334,0.0002106016757828984,0.007887785141478938,0.006859412882477045,185.49656010000035,0.09274828005000017,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_live\small_circle\g500_ns40\single\small_circle\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json
small_circle,500,60,0.0001532821290253735,0.00014483339657649736,0.00020504402868765299,0.007882685250341935,0.006854644394479692,184.93439149999904,0.09246719574999952,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_live\small_circle\g500_ns60\single\small_circle\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json
