experiment,trajectory_name,solver_type,pdnn_gain,pdnn_inner_steps,mean_position_error_m,final_position_error_m,max_position_error_m,final_joint_drift_norm_rad,max_joint_drift_rad,mean_task_residual,final_task_residual,mean_solver_residual,final_solver_residual,min_boundary_slack,runtime_s,avg_step_time_s
figure8_g1_dlccznn_offline,figure8,dlccznn,20.0,1,0.00047334311899084505,1.2264560030190684e-06,0.0017415408037160752,6.861215183033064e-06,4.084697189589838e-06,0.07593569936122825,0.0001959714493353856,0.09154670288423966,0.00019340313497336195,1.7624181647734907,0.9600866999971913,0.00024002167499929784
figure8_g1_pdnn_inner1_offline,figure8,pdnn,500.0,1,0.015440670304799509,0.004835210132901089,0.030602645754627775,0.024107132991409087,0.02115490468835461,2.6071229886505924,1.5898179298988273,6.39340834422421,5.940132062153329,0.0,1.4366477000003215,0.00035916192500008037
figure8_g2_pdnn_inner1_offline,figure8,pdnn,500.0,1,0.015440670304799509,0.004835210132901089,0.030602645754627775,0.024107132991409087,0.02115490468835461,2.6071229886505924,1.5898179298988273,6.39340834422421,5.940132062153329,0.0,1.272278100001131,0.00031806952500028276
figure8_g2_pdnn_inner5_offline,figure8,pdnn,500.0,5,0.00038525500025050994,3.249899256543189e-07,0.0012450618880654725,1.601383355572345e-06,1.0097844418410773e-06,0.06164079311747014,4.499952778365755e-05,0.06264761290541557,4.571709167592998e-05,1.945878194373674,2.0442920999994385,0.0005110730249998596
figure8_g2_pdnn_inner10_offline,figure8,pdnn,500.0,10,0.0003852802447370316,3.285492685685524e-07,0.0012451364502902135,1.620992250473758e-06,1.0221164790102932e-06,0.06164482556477034,4.555940505894756e-05,0.06265592448545979,4.629850812120667e-05,1.9458782845080524,2.8337911999988137,0.0007084477999997034
figure8_g2_pdnn_inner20_offline,figure8,pdnn,500.0,20,0.0003852894816670897,3.3049307076471337e-07,0.0012451682918715636,1.631707670413974e-06,1.0288579537220954e-06,0.06164630222130341,4.586525467412797e-05,0.062663092053572,4.6616281318706424e-05,1.9458783307054084,4.8499778999976115,0.0012124944749994028
figure8_g3_dlccznn_tau0.002_offline,figure8,dlccznn,20.0,1,0.00022162577757208052,2.3355431297582073e-07,0.0007518536284873089,6.428981329915337e-07,5.408283856145636e-07,0.035521200376774954,3.6837675316162406e-05,0.03857780694480376,3.922844098867396e-05,1.9135318939135502,3.384177699997963,0.0003384177699997963
figure8_g3_pdnn_inner1_tau0.002_offline,figure8,pdnn,500.0,1,0.0003851678903667027,2.5921949679205266e-07,0.0012461384025742373,1.3527817404663694e-06,8.526863750635272e-07,0.06163363424783115,3.468783328407158e-05,0.06284292644425439,3.5238327347796856e-05,1.9458775821813965,3.395160100000794,0.0003395160100000794
figure8_g3_dlccznn_tau0.005_offline,figure8,dlccznn,20.0,1,0.00047334311899084505,1.2264560030190684e-06,0.0017415408037160752,6.861215183033064e-06,4.084697189589838e-06,0.07593569936122825,0.0001959714493353856,0.09154670288423966,0.00019340313497336195,1.7624181647734907,1.379533299998002,0.0003448833249995005
figure8_g3_pdnn_inner1_tau0.005_offline,figure8,pdnn,500.0,1,0.015440670304799509,0.004835210132901089,0.030602645754627775,0.024107132991409087,0.02115490468835461,2.6071229886505924,1.5898179298988273,6.39340834422421,5.940132062153329,0.0,1.3354879999969853,0.00033387199999924635
figure8_g3_dlccznn_tau0.01_offline,figure8,dlccznn,20.0,1,0.0009185692657635486,2.6965772982880554e-05,0.0038025907166956436,0.00011344067321582229,9.319061259738248e-05,0.14354738520631205,0.004436033281990081,0.20550706662706558,0.006423263801708286,1.1036708159102555,0.6960972000015317,0.00034804860000076587
figure8_g3_pdnn_inner1_tau0.01_offline,figure8,pdnn,500.0,1,0.018802316294040295,0.010984645731893406,0.03735878998216289,0.02272055767546996,0.014789039084537992,2.6881961374607153,0.4578031193228561,8.113620497622405,7.5069273404965475,0.0,0.6812466999981552,0.0003406233499990776
figure8_g3_dlccznn_tau0.02_offline,figure8,dlccznn,20.0,1,0.03468399198226059,0.059283059792290926,0.08944442439074575,0.17042535521692986,0.13944197406440528,5.378408502233582,8.159485938552873,10.599347778788523,11.274481204566984,0.0,0.31584219999786,0.00031584219999786
figure8_g3_pdnn_inner1_tau0.02_offline,figure8,pdnn,500.0,1,0.02473703979332218,0.026135067436135074,0.04988099888872433,0.04277231052965492,0.032497623473366044,3.2993949398709637,2.6012592334783413,83.92265898229861,81.99452215207174,0.0,0.334133300002577,0.000334133300002577
figure8_g4_pdnn_inner1_offline,figure8,pdnn,500.0,1,0.015440670304799509,0.004835210132901089,0.030602645754627775,0.024107132991409087,0.02115490468835461,2.6071229886505924,1.5898179298988273,6.39340834422421,5.940132062153329,0.0,1.3792250999977114,0.0003448062749994278
figure8_g4_pdnn_inner5_offline,figure8,pdnn,500.0,5,0.00038525500025050994,3.249899256543189e-07,0.0012450618880654725,1.601383355572345e-06,1.0097844418410773e-06,0.06164079311747014,4.499952778365755e-05,0.06264761290541557,4.571709167592998e-05,1.945878194373674,2.209668999999849,0.0005524172499999622
figure8_g4_pdnn_inner20_offline,figure8,pdnn,500.0,20,0.0003852894816670897,3.3049307076471337e-07,0.0012451682918715636,1.631707670413974e-06,1.0288579537220954e-06,0.06164630222130341,4.586525467412797e-05,0.062663092053572,4.6616281318706424e-05,1.9458783307054084,4.838311200001044,0.001209577800000261
