experiment,trajectory_name,solver_type,pdnn_gain,pdnn_inner_steps,mean_position_error_m,final_position_error_m,max_position_error_m,final_joint_drift_norm_rad,max_joint_drift_rad,mean_task_residual,final_task_residual,mean_solver_residual,final_solver_residual,min_boundary_slack,runtime_s,avg_step_time_s
heart_g1_dlccznn_offline,heart,dlccznn,20.0,1,0.002108037584639355,0.00017005350152886562,0.005303733459643938,0.0009297907385949019,0.0005824215815963818,0.3379676997757793,0.026588143558459783,0.39938106527350664,0.028310306175355585,0.9570075963894373,0.9254074999989825,0.00023135187499974562
heart_g1_pdnn_inner1_offline,heart,pdnn,500.0,1,0.039601343030845455,0.047809509609420764,0.05543129565969432,0.25520058228297293,0.15911467889833442,6.373290640489379,8.684469947536204,8.570111835883752,10.53937638526316,0.0,1.1175729999995383,0.0002793932499998846
heart_g2_pdnn_inner1_offline,heart,pdnn,500.0,1,0.039601343030845455,0.047809509609420764,0.05543129565969432,0.25520058228297293,0.15911467889833442,6.373290640489379,8.684469947536204,8.570111835883752,10.53937638526316,0.0,1.136378600000171,0.00028409465000004276
heart_g2_pdnn_inner5_offline,heart,pdnn,500.0,5,0.00161069046720845,4.870223199174415e-05,0.003976132083824227,0.00025335107441457007,0.00017070874334135233,0.25770677580998175,0.00742746004759252,0.2622207709195653,0.0075764239040180936,1.8596990101658764,1.654589900001156,0.000413647475000289
heart_g2_pdnn_inner10_offline,heart,pdnn,500.0,10,0.0016108309640213067,4.892006665971605e-05,0.003976225567145903,0.000254476403786595,0.00017135862087713782,0.25772917831881625,0.007455168239525092,0.2622768043488012,0.0076044614241795845,1.8596821477929117,2.3822263999973075,0.0005955565999993268
heart_g2_pdnn_inner20_offline,heart,pdnn,500.0,20,0.0016109047815308798,4.8691218648892705e-05,0.00397626010233329,0.00025356136047976715,0.00017061868704826288,0.25774095955535886,0.007432192638574866,0.26232240020012293,0.007582006172366087,1.85965345720451,3.8139867000027152,0.0009534966750006788
heart_g3_dlccznn_tau0.002_offline,heart,dlccznn,20.0,1,0.00104472961322012,1.717884840088564e-05,0.0025611964518315613,9.232599329235465e-05,5.9011600530345376e-05,0.16729702249936987,0.002566344330775705,0.17604672820128844,0.0027859289745156297,1.76790486003594,2.728396700000303,0.0002728396700000303
heart_g3_pdnn_inner1_tau0.002_offline,heart,pdnn,500.0,1,0.001610191480843182,4.7216843067513285e-05,0.003980548657691104,0.00025147188020897533,0.00016947153288482397,0.2577041902055817,0.00715380855467924,0.264526420182088,0.007293386472344299,1.8597857518946408,2.705965200002538,0.0002705965200002538
heart_g3_dlccznn_tau0.005_offline,heart,dlccznn,20.0,1,0.002108037584639355,0.00017005350152886562,0.005303733459643938,0.0009297907385949019,0.0005824215815963818,0.3379676997757793,0.026588143558459783,0.39938106527350664,0.028310306175355585,0.9570075963894373,1.0507734999991953,0.00026269337499979883
heart_g3_pdnn_inner1_tau0.005_offline,heart,pdnn,500.0,1,0.039601343030845455,0.047809509609420764,0.05543129565969432,0.25520058228297293,0.15911467889833442,6.373290640489379,8.684469947536204,8.570111835883752,10.53937638526316,0.0,1.0806335999986914,0.0002701583999996728
heart_g3_dlccznn_tau0.01_offline,heart,dlccznn,20.0,1,0.017696472664426924,0.02752277939881618,0.08678156593948061,0.12329182675453142,0.08508706963951007,2.735609412371453,3.490683504052026,10.854281038673482,16.488533376154102,0.0,0.5459725999971852,0.0002729862999985926
heart_g3_pdnn_inner1_tau0.01_offline,heart,pdnn,500.0,1,0.2078367964557594,0.7857558751230331,0.7857558751230331,5.284984826113164,3.369353139749623,33.21766876237786,125.55079498387737,2230.8463626094403,10319.607508668752,0.0,0.5297143000025244,0.0002648571500012622
heart_g3_dlccznn_tau0.02_offline,heart,dlccznn,20.0,1,0.03980395704105065,0.00712349326084712,0.11258570947032569,0.17138010493152317,0.10183060070953087,6.151883951931917,1.346520662614302,22.993612088906055,2.5351208029247974,0.0,0.25856990000102087,0.00025856990000102086
heart_g3_pdnn_inner1_tau0.02_offline,heart,pdnn,500.0,1,0.11050002788549408,0.0359633075609012,0.19777936967670515,0.25725912407557905,0.25254936092161206,17.469464513471415,4.8779288714091535,83.10558904683235,68.83669538727338,0.0,0.267696300001262,0.000267696300001262
heart_g4_pdnn_inner1_offline,heart,pdnn,500.0,1,0.039601343030845455,0.047809509609420764,0.05543129565969432,0.25520058228297293,0.15911467889833442,6.373290640489379,8.684469947536204,8.570111835883752,10.53937638526316,0.0,1.1900688000023365,0.00029751720000058415
heart_g4_pdnn_inner5_offline,heart,pdnn,500.0,5,0.00161069046720845,4.870223199174415e-05,0.003976132083824227,0.00025335107441457007,0.00017070874334135233,0.25770677580998175,0.00742746004759252,0.2622207709195653,0.0075764239040180936,1.8596990101658764,1.6631889999989653,0.0004157972499997413
heart_g4_pdnn_inner20_offline,heart,pdnn,500.0,20,0.0016109047815308798,4.8691218648892705e-05,0.00397626010233329,0.00025356136047976715,0.00017061868704826288,0.25774095955535886,0.007432192638574866,0.26232240020012293,0.007582006172366087,1.85965345720451,3.7538112999973237,0.0009384528249993309
