experiment,trajectory_name,solver_type,pdnn_gain,pdnn_inner_steps,mean_position_error_m,final_position_error_m,max_position_error_m,final_joint_drift_norm_rad,max_joint_drift_rad,mean_task_residual,final_task_residual,mean_solver_residual,final_solver_residual,min_boundary_slack,runtime_s,avg_step_time_s
line_g1_dlccznn_offline,line,dlccznn,20.0,1,0.0002599948402815112,3.048650046335167e-05,0.0005243257182068879,0.00015601107645034858,0.0001012870651382336,0.04173776191757445,0.004493333875343712,0.05144604441177988,0.005424069706323014,1.9117670653633374,0.9386798999985331,0.00023466997499963326
line_g1_pdnn_inner1_offline,line,pdnn,500.0,1,0.016679921244007308,0.011517158452011036,0.030112612268252063,0.04696015414500556,0.045253204050392806,2.7931695768486464,2.8016919748651934,6.4587360582009685,6.3481930464140515,0.0,1.4302304000011645,0.00035755760000029114
line_g2_pdnn_inner1_offline,line,pdnn,500.0,1,0.016679921244007308,0.011517158452011036,0.030112612268252063,0.04696015414500556,0.045253204050392806,2.7931695768486464,2.8016919748651934,6.4587360582009685,6.3481930464140515,0.0,1.2691212999998243,0.00031728032499995606
line_g2_pdnn_inner5_offline,line,pdnn,500.0,5,0.00022137691267596255,1.053328404204045e-05,0.00034904104626536293,5.5066700618584745e-05,3.507140965464117e-05,0.03542073811233786,0.0015723569483258586,0.03598149680706673,0.0015970178051924779,1.9814667112570872,2.026439400000527,0.0005066098500001317
line_g2_pdnn_inner10_offline,line,pdnn,500.0,10,0.00022139373953943212,1.0548749403368091e-05,0.00034906739643212194,5.515254210684035e-05,3.5125830953441906e-05,0.03542343106052967,0.0015748239085020886,0.035986774466276246,0.0015997348541815708,1.9814667127169145,2.897214600001462,0.0007243036500003654
line_g2_pdnn_inner20_offline,line,pdnn,500.0,20,0.00022140120882476515,1.0557073698620949e-05,0.00034907911233320136,5.519880211604475e-05,3.515512172591606e-05,0.035424626503088065,0.001576152040827565,0.03598939456500984,0.0016012005109696304,1.9814667139836466,4.770714099999168,0.001192678524999792
line_g3_dlccznn_tau0.002_offline,line,dlccznn,20.0,1,0.00011736485510423785,7.716672924734399e-07,0.0002499182935686858,2.642265974019321e-06,2.454999130691551e-06,0.01882560060326756,0.00015791504981424424,0.02132363103469069,0.00017525653207348335,1.9622309896248542,3.2713745000000927,0.0003271374500000093
line_g3_pdnn_inner1_tau0.002_offline,line,pdnn,500.0,1,0.0002215502314354228,1.001855801384748e-05,0.0003493097130009464,5.411370731187387e-05,3.447412962342966e-05,0.03544852159191086,0.001489046777856678,0.03600436126557063,0.0015122038564456175,1.9814665994874472,3.3613839999998163,0.00033613839999998164
line_g3_dlccznn_tau0.005_offline,line,dlccznn,20.0,1,0.0002599948402815112,3.048650046335167e-05,0.0005243257182068879,0.00015601107645034858,0.0001012870651382336,0.04173776191757445,0.004493333875343712,0.05144604441177988,0.005424069706323014,1.9117670653633374,1.4932297999985167,0.00037330744999962916
line_g3_pdnn_inner1_tau0.005_offline,line,pdnn,500.0,1,0.016679921244007308,0.011517158452011036,0.030112612268252063,0.04696015414500556,0.045253204050392806,2.7931695768486464,2.8016919748651934,6.4587360582009685,6.3481930464140515,0.0,1.3183194000012008,0.0003295798500003002
line_g3_dlccznn_tau0.01_offline,line,dlccznn,20.0,1,0.0005148400014593856,8.576709559144233e-05,0.0016035955943350915,0.00029535947484713896,0.00022534493380070415,0.08036522538896236,0.009171681971783741,0.11806350105421566,0.012631532456110506,1.5373945137630822,0.7309334000019589,0.0003654667000009795
line_g3_pdnn_inner1_tau0.01_offline,line,pdnn,500.0,1,0.02034467513513057,0.005231875056409455,0.04256531104702665,0.02289743263624371,0.016933540708147767,3.0333302518426595,0.493987770909221,6.88649600494297,5.92314674744645,0.0,0.7852252000011504,0.0003926126000005752
line_g3_dlccznn_tau0.02_offline,line,dlccznn,20.0,1,0.018916476336400218,0.021191351131458258,0.1168065506503599,0.15621410516000206,0.12611844478248768,2.7602132888489415,4.075105559580708,8.666443036470424,5.869961549970972,0.0,0.3650848000033875,0.0003650848000033875
line_g3_pdnn_inner1_tau0.02_offline,line,pdnn,500.0,1,0.03321801657656044,0.01981772213696282,0.056435297162210595,0.08034263177009014,0.06158710463868519,4.669584166650338,1.9408528868122608,159.52537738905892,160.62102911912643,0.0,0.34908870000072056,0.0003490887000007206
line_g4_pdnn_inner1_offline,line,pdnn,500.0,1,0.016679921244007308,0.011517158452011036,0.030112612268252063,0.04696015414500556,0.045253204050392806,2.7931695768486464,2.8016919748651934,6.4587360582009685,6.3481930464140515,0.0,1.3759257000019716,0.0003439814250004929
line_g4_pdnn_inner5_offline,line,pdnn,500.0,5,0.00022137691267596255,1.053328404204045e-05,0.00034904104626536293,5.5066700618584745e-05,3.507140965464117e-05,0.03542073811233786,0.0015723569483258586,0.03598149680706673,0.0015970178051924779,1.9814667112570872,2.213291799998842,0.0005533229499997106
line_g4_pdnn_inner20_offline,line,pdnn,500.0,20,0.00022140120882476515,1.0557073698620949e-05,0.00034907911233320136,5.519880211604475e-05,3.515512172591606e-05,0.035424626503088065,0.001576152040827565,0.03598939456500984,0.0016012005109696304,1.9814667139836466,4.751949699995748,0.001187987424998937
