experiment,trajectory_name,solver_type,pdnn_gain,pdnn_inner_steps,mean_position_error_m,final_position_error_m,max_position_error_m,final_joint_drift_norm_rad,max_joint_drift_rad,mean_task_residual,final_task_residual,mean_solver_residual,final_solver_residual,min_boundary_slack,runtime_s,avg_step_time_s
small_circle_g1_dlccznn_offline,small_circle,dlccznn,20.0,1,0.0002496004592984628,4.218741913658144e-07,0.000875183326135234,2.2381166668878666e-06,1.40870360998413e-06,0.0400673082686901,6.368300646021617e-05,0.04983117858306543,6.488965614666629e-05,1.8501121173467894,0.9553120999989915,0.00023882802499974786
small_circle_g1_pdnn_inner1_offline,small_circle,pdnn,500.0,1,0.014482177940052498,0.0037958637807637995,0.035853694018993444,0.013130563623546424,0.006378025611213938,2.474388307187567,1.0311450849838697,6.371410457225142,5.815967723744628,0.0,1.115111999999499,0.00027877799999987475
small_circle_g2_pdnn_inner1_offline,small_circle,pdnn,500.0,1,0.014482177940052498,0.0037958637807637995,0.035853694018993444,0.013130563623546424,0.006378025611213938,2.474388307187567,1.0311450849838697,6.371410457225142,5.815967723744628,0.0,1.1985094999981811,0.00029962737499954526
small_circle_g2_pdnn_inner5_offline,small_circle,pdnn,500.0,5,0.00020074137452841262,1.7924572345739127e-07,0.000596933151268625,8.84895087346673e-07,5.629049093514027e-07,0.03211884076493551,2.482052040050633e-05,0.032676279800130305,2.521196592454825e-05,1.9726119661683044,1.717485699999088,0.000429371424999772
small_circle_g2_pdnn_inner10_offline,small_circle,pdnn,500.0,10,0.00020076820510139286,1.8121821071716313e-07,0.0005969826181423493,8.957452968263031e-07,5.697481388899917e-07,0.03212312649513352,2.51307874050854e-05,0.03267101178311404,2.5534179457642885e-05,1.9726119973523737,2.3387174000017694,0.0005846793500004423
small_circle_g2_pdnn_inner20_offline,small_circle,pdnn,500.0,20,0.00020077563997180142,1.8229561502367628e-07,0.0005969894797457557,9.016747284038585e-07,5.734862469353175e-07,0.032124314308784915,2.530030890313209e-05,0.03267341416351458,2.571031389754916e-05,1.972612026396888,3.75907240000015,0.0009397681000000376
small_circle_g3_dlccznn_tau0.002_offline,small_circle,dlccznn,20.0,1,0.00012147233430759377,1.7488349362657638e-07,0.00040676532988797996,7.439619640860143e-07,4.693148030199268e-07,0.01947586240484387,2.696747201440372e-05,0.021534993912461907,2.858850416736575e-05,1.9427362612831092,2.5247975000020233,0.0002524797500002023
small_circle_g3_pdnn_inner1_tau0.002_offline,small_circle,pdnn,500.0,1,0.00020064739239683926,1.4279508150458182e-07,0.000597476980217524,7.470900279663689e-07,4.7621339693826314e-07,0.03211367185510861,1.9108717869359332e-05,0.03297127798064731,1.940207723515032e-05,1.9726114797614729,2.616921500000899,0.0002616921500000899
small_circle_g3_dlccznn_tau0.005_offline,small_circle,dlccznn,20.0,1,0.0002496004592984628,4.218741913658144e-07,0.000875183326135234,2.2381166668878666e-06,1.40870360998413e-06,0.0400673082686901,6.368300646021617e-05,0.04983117858306543,6.488965614666629e-05,1.8501121173467894,1.1946537000003445,0.00029866342500008613
small_circle_g3_pdnn_inner1_tau0.005_offline,small_circle,pdnn,500.0,1,0.014482177940052498,0.0037958637807637995,0.035853694018993444,0.013130563623546424,0.006378025611213938,2.474388307187567,1.0311450849838697,6.371410457225142,5.815967723744628,0.0,1.0747808999985864,0.0002686952249996466
small_circle_g3_dlccznn_tau0.01_offline,small_circle,dlccznn,20.0,1,0.0004617879515376248,1.1836051399310197e-05,0.0020645840231087345,6.461952603082487e-05,4.6869174389119195e-05,0.07199764431090815,0.0015318028537964314,0.10648629922598409,0.00364620399137273,1.6398687537698615,0.5440527999999176,0.0002720263999999588
small_circle_g3_pdnn_inner1_tau0.01_offline,small_circle,pdnn,500.0,1,0.016874339177084554,0.00739215397429154,0.04015706336300104,0.025683364370252405,0.01739819782137242,2.3148076958394594,0.7128994263787498,8.149855534538359,7.760160652064213,0.0,0.5831915000017034,0.0002915957500008517
small_circle_g3_dlccznn_tau0.02_offline,small_circle,dlccznn,20.0,1,0.02673384663389736,0.027806965690686528,0.09545405500281402,0.22525893492552626,0.14159895237665043,4.101455161414714,4.443854463447018,9.726361401323361,8.156449355772402,0.0,0.26099819999944884,0.00026099819999944883
small_circle_g3_pdnn_inner1_tau0.02_offline,small_circle,pdnn,500.0,1,0.022635309473648904,0.020741024127503328,0.0514676070257891,0.05980058253286729,0.03610606830092955,2.788674983346113,1.738367523158719,144.368303726661,147.6354828090356,0.0,0.2638345000013942,0.0002638345000013942
small_circle_g4_pdnn_inner1_offline,small_circle,pdnn,500.0,1,0.014482177940052498,0.0037958637807637995,0.035853694018993444,0.013130563623546424,0.006378025611213938,2.474388307187567,1.0311450849838697,6.371410457225142,5.815967723744628,0.0,1.059965699998429,0.00026499142499960724
small_circle_g4_pdnn_inner5_offline,small_circle,pdnn,500.0,5,0.00020074137452841262,1.7924572345739127e-07,0.000596933151268625,8.84895087346673e-07,5.629049093514027e-07,0.03211884076493551,2.482052040050633e-05,0.032676279800130305,2.521196592454825e-05,1.9726119661683044,1.6310038000010536,0.0004077509500002634
small_circle_g4_pdnn_inner20_offline,small_circle,pdnn,500.0,20,0.00020077563997180142,1.8229561502367628e-07,0.0005969894797457557,9.016747284038585e-07,5.734862469353175e-07,0.032124314308784915,2.530030890313209e-05,0.03267341416351458,2.571031389754916e-05,1.972612026396888,3.80579509999734,0.000951448774999335
