dataset,trajectory,joint,initial_rad,final_rad,delta_rad
clean,small_circle,theta_1,0.0,-3.9895076042739674e-06,-3.9895076042739674e-06
clean,small_circle,theta_2,-1.5707963705062866,-1.5706688165664673,0.00012755393981933594
clean,small_circle,theta_3,1.5707963705062866,1.5708218812942505,2.5510787963867188e-05
clean,small_circle,theta_4,0.0,0.00015006352623458952,0.00015006352623458952
clean,small_circle,theta_5,1.5707963705062866,1.5706850290298462,-0.00011134147644042969
clean,small_circle,theta_6,0.0,8.732778951525688e-05,8.732778951525688e-05
clean,line,theta_1,0.0,-1.940440051839687e-05,-1.940440051839687e-05
clean,line,theta_2,-1.5707963705062866,-1.5707579851150513,3.838539123535156e-05
clean,line,theta_3,1.5707963705062866,1.5708765983581543,8.022785186767578e-05
clean,line,theta_4,0.0,0.00022919854382053018,0.00022919854382053018
clean,line,theta_5,1.5707963705062866,1.5708937644958496,9.739398956298828e-05
clean,line,theta_6,0.0,-8.617924322606996e-05,-8.617924322606996e-05
clean,circle,theta_1,0.0,-5.9952057199552655e-05,-5.9952057199552655e-05
clean,circle,theta_2,-1.5707963705062866,-1.5707030296325684,9.334087371826172e-05
clean,circle,theta_3,1.5707963705062866,1.5709682703018188,0.00017189979553222656
clean,circle,theta_4,0.0,-8.298366446979344e-05,-8.298366446979344e-05
clean,circle,theta_5,1.5707963705062866,1.570507287979126,-0.00028908252716064453
clean,circle,theta_6,0.0,-0.00024628062965348363,-0.00024628062965348363
clean,ellipse,theta_1,0.0,2.9614775485242717e-05,2.9614775485242717e-05
clean,ellipse,theta_2,-1.5707963705062866,-1.5706181526184082,0.00017821788787841797
clean,ellipse,theta_3,1.5707963705062866,1.5707660913467407,-3.0279159545898438e-05
clean,ellipse,theta_4,0.0,0.0001435326848877594,0.0001435326848877594
clean,ellipse,theta_5,1.5707963705062866,1.5708200931549072,2.372264862060547e-05
clean,ellipse,theta_6,0.0,-8.993352093966678e-05,-8.993352093966678e-05
clean,figure8,theta_1,0.0,1.950707519426942e-05,1.950707519426942e-05
clean,figure8,theta_2,-1.5707963705062866,-1.5706517696380615,0.00014460086822509766
clean,figure8,theta_3,1.5707963705062866,1.5707765817642212,-1.9788742065429688e-05
clean,figure8,theta_4,0.0,0.00012261635856702924,0.00012261635856702924
clean,figure8,theta_5,1.5707963705062866,1.570786476135254,-9.894371032714844e-06
clean,figure8,theta_6,0.0,9.038104326464236e-05,9.038104326464236e-05
noise_0p5t,small_circle,theta_1,0.0,-4.925663961330429e-05,-4.925663961330429e-05
noise_0p5t,small_circle,theta_2,-1.5707963705062866,-1.5708974599838257,-0.0001010894775390625
noise_0p5t,small_circle,theta_3,1.5707963705062866,1.5709155797958374,0.00011920928955078125
noise_0p5t,small_circle,theta_4,0.0,0.00026785203954204917,0.00026785203954204917
noise_0p5t,small_circle,theta_5,1.5707963705062866,1.5709054470062256,0.00010907649993896484
noise_0p5t,small_circle,theta_6,0.0,-9.590167610440403e-05,-9.590167610440403e-05
noise_0p5t,line,theta_1,5.264196715870639e-06,0.0003164075023960322,0.0003111433056801616
noise_0p5t,line,theta_2,-1.5705363750457764,-1.5697280168533325,0.0008083581924438477
noise_0p5t,line,theta_3,1.5707963705062866,1.5710848569869995,0.0002884864807128906
noise_0p5t,line,theta_4,0.00039827972068451345,0.0005971601931378245,0.00019888047245331109
noise_0p5t,line,theta_5,1.5707706212997437,1.570663332939148,-0.00010728836059570312
noise_0p5t,line,theta_6,1.2212453270876722e-13,-7.693958468735218e-05,-7.693958480947671e-05
noise_0p5t,circle,theta_1,5.26419717061799e-06,0.00032125887810252607,0.0003159946809319081
noise_0p5t,circle,theta_2,-1.5705363750457764,-1.5696793794631958,0.0008569955825805664
noise_0p5t,circle,theta_3,1.5707963705062866,1.5711647272109985,0.00036835670471191406
noise_0p5t,circle,theta_4,0.00039827972068451345,0.0005826445412822068,0.00018436482059769332
noise_0p5t,circle,theta_5,1.5707706212997437,1.5706865787506104,-8.404254913330078e-05
noise_0p5t,circle,theta_6,1.1191048088221578e-13,0.0002516951353754848,0.00025169513526357434
noise_0p5t,ellipse,theta_1,5.26419717061799e-06,0.00029048233409412205,0.00028521813692350406
noise_0p5t,ellipse,theta_2,-1.5705363750457764,-1.569785237312317,0.0007511377334594727
noise_0p5t,ellipse,theta_3,1.5707963705062866,1.5711194276809692,0.0003230571746826172
noise_0p5t,ellipse,theta_4,0.00039827972068451345,0.0006281119422055781,0.00022983222152106464
noise_0p5t,ellipse,theta_5,1.5707706212997437,1.5706840753555298,-8.654594421386719e-05
noise_0p5t,ellipse,theta_6,-3.574918139293004e-13,-7.278152042999864e-05,-7.278152007250682e-05
noise_0p5t,figure8,theta_1,5.26419717061799e-06,0.00028003158513456583,0.00027476738796394784
noise_0p5t,figure8,theta_2,-1.5705363750457764,-1.5697993040084839,0.0007370710372924805
noise_0p5t,figure8,theta_3,1.5707963705062866,1.5711183547973633,0.00032198429107666016
noise_0p5t,figure8,theta_4,0.00039827972068451345,0.0006065145717002451,0.0002082348510157317
noise_0p5t,figure8,theta_5,1.5707706212997437,1.5706632137298584,-0.0001074075698852539
noise_0p5t,figure8,theta_6,1.1457501614131615e-13,7.836602162569761e-05,7.83660215111226e-05
