dataset,trajectory,summary_path,sha256,last_write_time,noise_profile_json,command_has_noise_flag,command_has_clean_flag,mean_position_error_m_json,final_joint_drift_norm_rad_json,final_solver_residual_json,task_gain_json,drift_gain_json,solver_gamma_json,activation_power_json,runtime_s_json,log_command
clean,small_circle,C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\results\round2_clean_live_10s\small_circle__euler__ns40__g4096p0__d60p0__t420p0__p0p75__noiseclean\single\small_circle\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json,e17c617f1977823a19bd4337c0153ca868dfc369d86b92b5fc3aad5f121b13a2,1778804165.6568463,clean,False,True,0.00039966745185288224,0.00024388286766481124,0.02715167645475527,420.0,60.0,4096.0,0.75,184.20715230001952,command: C:\Users\lyx\AppData\Local\Programs\Python\Python310\python.exe C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\scripts\run_ns40_euler_live_case.py --experiment single --method method2_dlccznn --trajectory-name small_circle --duration 10.0 --tau 0.005 --task-gain 420.0 --drift-gain 60.0 --solver-gamma 4096.0 --activation-power 0.75 --activation-exp-clip 4.0 --drift-feedback-mode nonlinear --dlccznn-inner-steps 40 --dlccznn-integrator euler --noise-profile clean --output-root C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\results\round2_clean_live_10s\small_circle__euler__ns40__g4096p0__d60p0__t420p0__p0p75__noiseclean --skip-plots
clean,line,C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\results\round2_clean_live_10s\line__euler__ns40__g4096p0__d60p0__t420p0__p0p75__noiseclean\single\line\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json,ebbeab136ef6b5c761a0ccdfe94ac5789d0cbad142361900ac35f984d76ec5f7,1778804923.93664,clean,False,True,0.00037487299563980834,0.00027880261994919667,0.03643831097796165,420.0,60.0,4096.0,0.75,184.42877620001673,command: C:\Users\lyx\AppData\Local\Programs\Python\Python310\python.exe C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\scripts\run_ns40_euler_live_case.py --experiment single --method method2_dlccznn --trajectory-name line --duration 10.0 --tau 0.005 --task-gain 420.0 --drift-gain 60.0 --solver-gamma 4096.0 --activation-power 0.75 --activation-exp-clip 4.0 --drift-feedback-mode nonlinear --dlccznn-inner-steps 40 --dlccznn-integrator euler --noise-profile clean --output-root C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\results\round2_clean_live_10s\line__euler__ns40__g4096p0__d60p0__t420p0__p0p75__noiseclean --skip-plots
clean,circle,C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\results\round1_clean_live_10s\circle__euler__ns40__g4096p0__d60p0__t340p0__p0p72__noiseclean\single\circle\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json,b5ef8076689b741f3445b626da836110e2b04bdd5f3fc4ffdd59313ef843fcad,1778802026.0149658,clean,False,True,0.000437729867256302,0.00043927833112265466,0.04586256698208501,340.0,60.0,4096.0,0.72,183.19520309998188,command: C:\Users\lyx\AppData\Local\Programs\Python\Python310\python.exe C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\scripts\run_ns40_euler_live_case.py --experiment single --method method2_dlccznn --trajectory-name circle --duration 10.0 --tau 0.005 --task-gain 340.0 --drift-gain 60.0 --solver-gamma 4096.0 --activation-power 0.72 --activation-exp-clip 4.0 --drift-feedback-mode nonlinear --dlccznn-inner-steps 40 --dlccznn-integrator euler --noise-profile clean --output-root C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\results\round1_clean_live_10s\circle__euler__ns40__g4096p0__d60p0__t340p0__p0p72__noiseclean --skip-plots
clean,ellipse,C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\results\round1_clean_live_10s\ellipse__euler__ns40__g4096p0__d60p0__t380p0__p0p75__noiseclean\single\ellipse\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json,3bcb6a5f839bc0317db556507eec3f9317ca011da47c03b675574cd481487cfa,1778802591.6743104,clean,False,True,0.00043431518713549347,0.0002506150671188041,0.017528643511130187,380.0,60.0,4096.0,0.75,183.69928219998837,command: C:\Users\lyx\AppData\Local\Programs\Python\Python310\python.exe C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\scripts\run_ns40_euler_live_case.py --experiment single --method method2_dlccznn --trajectory-name ellipse --duration 10.0 --tau 0.005 --task-gain 380.0 --drift-gain 60.0 --solver-gamma 4096.0 --activation-power 0.75 --activation-exp-clip 4.0 --drift-feedback-mode nonlinear --dlccznn-inner-steps 40 --dlccznn-integrator euler --noise-profile clean --output-root C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\results\round1_clean_live_10s\ellipse__euler__ns40__g4096p0__d60p0__t380p0__p0p75__noiseclean --skip-plots
clean,figure8,C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\results\round2_clean_live_10s\figure8__euler__ns40__g4608p0__d60p0__t380p0__p0p75__noiseclean\single\figure8\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json,95cc0daa82289fa8f5ea422f3d1d0dc2b10e0ac7791d45b2efdc7e2927da638e,1778807573.7720196,clean,False,True,0.00042036032504916,0.0002120918063825086,0.024663322339039555,380.0,60.0,4608.0,0.75,184.34946820000187,command: C:\Users\lyx\AppData\Local\Programs\Python\Python310\python.exe C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\scripts\run_ns40_euler_live_case.py --experiment single --method method2_dlccznn --trajectory-name figure8 --duration 10.0 --tau 0.005 --task-gain 380.0 --drift-gain 60.0 --solver-gamma 4608.0 --activation-power 0.75 --activation-exp-clip 4.0 --drift-feedback-mode nonlinear --dlccznn-inner-steps 40 --dlccznn-integrator euler --noise-profile clean --output-root C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\results\round2_clean_live_10s\figure8__euler__ns40__g4608p0__d60p0__t380p0__p0p75__noiseclean --skip-plots
noise_0p5t,small_circle,C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\results\noise_n2_live_from_round123_best_10s\small_circle__euler__ns40__g4096p0__d60p0__t420p0__p0p75__noisepaper_n2_linear\single\small_circle\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json,ef7a15d42d943da593a376bc5cdb05259c55c057053152e2c78f212a5a2fbead,1778810882.3739195,paper_n2_linear,True,False,0.0003965490349942614,0.00034597063912378755,0.07110542239680362,420.0,60.0,4096.0,0.75,184.04077540000435,command: C:\Users\lyx\AppData\Local\Programs\Python\Python310\python.exe C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\scripts\run_ns40_euler_live_case.py --experiment single --method method2_dlccznn --trajectory-name small_circle --duration 10.0 --tau 0.005 --task-gain 420.0 --drift-gain 60.0 --solver-gamma 4096.0 --activation-power 0.75 --activation-exp-clip 4.0 --drift-feedback-mode nonlinear --dlccznn-inner-steps 40 --dlccznn-integrator euler --noise-profile paper_n2_linear --output-root C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\results\noise_n2_live_from_round123_best_10s\small_circle__euler__ns40__g4096p0__d60p0__t420p0__p0p75__noisepaper_n2_linear --skip-plots
noise_0p5t,line,C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\results\noise_n2_live_from_round123_best_10s\line__euler__ns40__g4096p0__d60p0__t420p0__p0p75__noisepaper_n2_linear\single\line\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json,8316151583c1c63159824398acf20614bd13d3faa8d898b4c99e9c98e6772780,1778811071.0918276,paper_n2_linear,True,False,0.0003729239911026787,0.0009436426801856689,0.018899183655138867,420.0,60.0,4096.0,0.75,184.35986260004574,command: C:\Users\lyx\AppData\Local\Programs\Python\Python310\python.exe C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\scripts\run_ns40_euler_live_case.py --experiment single --method method2_dlccznn --trajectory-name line --duration 10.0 --tau 0.005 --task-gain 420.0 --drift-gain 60.0 --solver-gamma 4096.0 --activation-power 0.75 --activation-exp-clip 4.0 --drift-feedback-mode nonlinear --dlccznn-inner-steps 40 --dlccznn-integrator euler --noise-profile paper_n2_linear --output-root C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\results\noise_n2_live_from_round123_best_10s\line__euler__ns40__g4096p0__d60p0__t420p0__p0p75__noisepaper_n2_linear --skip-plots
noise_0p5t,circle,C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\results\noise_n2_live_from_round123_best_10s\circle__euler__ns40__g4096p0__d60p0__t340p0__p0p72__noisepaper_n2_linear\single\circle\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json,90aed6ee4db5de110f93d5a30a64ecf28ea4680b713ea3775f9a41d66bdacb98,1778811259.847119,paper_n2_linear,True,False,0.00043786688362377324,0.0010365253046116505,0.02169322687408579,340.0,60.0,4096.0,0.72,184.324028300005,command: C:\Users\lyx\AppData\Local\Programs\Python\Python310\python.exe C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\scripts\run_ns40_euler_live_case.py --experiment single --method method2_dlccznn --trajectory-name circle --duration 10.0 --tau 0.005 --task-gain 340.0 --drift-gain 60.0 --solver-gamma 4096.0 --activation-power 0.72 --activation-exp-clip 4.0 --drift-feedback-mode nonlinear --dlccznn-inner-steps 40 --dlccznn-integrator euler --noise-profile paper_n2_linear --output-root C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\results\noise_n2_live_from_round123_best_10s\circle__euler__ns40__g4096p0__d60p0__t340p0__p0p72__noisepaper_n2_linear --skip-plots
noise_0p5t,ellipse,C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\results\noise_n2_live_from_round123_best_10s\ellipse__euler__ns40__g4096p0__d60p0__t380p0__p0p75__noisepaper_n2_linear\single\ellipse\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json,ce3671442ff84125af0a28bb0873ab6749f5d4289d06a40ca3eabcac20691fdd,1778811448.1307843,paper_n2_linear,True,False,0.0004315276224845741,0.0009030688891462853,0.04912370573159434,380.0,60.0,4096.0,0.75,184.05791909998516,command: C:\Users\lyx\AppData\Local\Programs\Python\Python310\python.exe C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\scripts\run_ns40_euler_live_case.py --experiment single --method method2_dlccznn --trajectory-name ellipse --duration 10.0 --tau 0.005 --task-gain 380.0 --drift-gain 60.0 --solver-gamma 4096.0 --activation-power 0.75 --activation-exp-clip 4.0 --drift-feedback-mode nonlinear --dlccznn-inner-steps 40 --dlccznn-integrator euler --noise-profile paper_n2_linear --output-root C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\results\noise_n2_live_from_round123_best_10s\ellipse__euler__ns40__g4096p0__d60p0__t380p0__p0p75__noisepaper_n2_linear --skip-plots
noise_0p5t,figure8,C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\results\noise_n2_live_from_round123_best_10s\figure8__euler__ns40__g4608p0__d60p0__t380p0__p0p75__noisepaper_n2_linear\single\figure8\method2_dlccznn\live\method2_dlccznn_live_with_fb_summary.json,24ad1088776810475e6027ddc8e5d444dabe0e9ebdad2c9cdd31a01a51a6458b,1778811636.543244,paper_n2_linear,True,False,0.00042016783575983795,0.0008851463651723169,0.12115458772422404,380.0,60.0,4608.0,0.75,184.11734850000357,command: C:\Users\lyx\AppData\Local\Programs\Python\Python310\python.exe C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\scripts\run_ns40_euler_live_case.py --experiment single --method method2_dlccznn --trajectory-name figure8 --duration 10.0 --tau 0.005 --task-gain 380.0 --drift-gain 60.0 --solver-gamma 4608.0 --activation-power 0.75 --activation-exp-clip 4.0 --drift-feedback-mode nonlinear --dlccznn-inner-steps 40 --dlccznn-integrator euler --noise-profile paper_n2_linear --output-root C:\Users\lyx\Desktop\sci\experiments\solver_comparison_integration\project_tvqp_euler_ns40_trajectory_live_opt\results\noise_n2_live_from_round123_best_10s\figure8__euler__ns40__g4608p0__d60p0__t380p0__p0p75__noisepaper_n2_linear --skip-plots
