case_id,task_gain,mu_gain,gamma,substeps,activation_power,activation_exp_clip,tau,weight_gain,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,max_drift_norm,runtime_s,composite_score
tg220_mu16_g2560_ns80,220.0,16.0,2560.0,80,0.85,4.0,0.005,1.0,ok,9.619172944340729e-06,1.4704839883134336e-06,2.8703568443110655e-06,0.5123815551144325,2.87349549999999,1.4892332752276352
tg220_mu12_g2560_ns80,220.0,12.0,2560.0,80,0.85,4.0,0.005,1.0,ok,6.828058870236707e-06,1.4741698941934916e-06,6.066982646230363e-06,0.5123855265018121,2.825482299998839,1.7475643874138365
tg160_mu16_g2560_ns80,160.0,16.0,2560.0,80,0.85,4.0,0.005,1.0,ok,1.3226051561723914e-05,2.016289969392902e-06,2.959271275313606e-06,0.5123804628103923,2.8373861000000034,1.892090537605852
tg160_mu12_g2560_ns80,160.0,12.0,2560.0,80,0.85,4.0,0.005,1.0,ok,9.388247163760545e-06,2.0238769088445925e-06,6.030648509768815e-06,0.5123859668344976,2.911086799998884,2.0400701766922618
tg220_mu16_g2560_ns40,220.0,16.0,2560.0,40,0.85,4.0,0.005,1.0,ok,9.359778453191735e-06,1.785750407779887e-06,8.824626252138464e-06,0.5123799477675689,1.6366951000018162,2.443120154483359
tg120_mu12_g2560_ns80,120.0,12.0,2560.0,80,0.85,4.0,0.005,1.0,ok,1.2517038017839491e-05,2.6965454787999527e-06,6.344510333186409e-06,0.5123863437688314,3.173295799999323,2.4538262026183815
tg120_mu16_g2560_ns80,120.0,16.0,2560.0,80,0.85,4.0,0.005,1.0,ok,1.7634102382594296e-05,2.6902097249682715e-06,3.655429334158883e-06,0.5123788929815211,2.774642100001074,2.477474585107072
tg220_mu12_g2560_ns40,220.0,12.0,2560.0,40,0.85,4.0,0.005,1.0,ok,6.5650965259271886e-06,1.833145515030295e-06,1.2583097767108638e-05,0.5123840418922304,1.6357228000015311,2.7951879489947835
tg160_mu16_g2560_ns40,160.0,16.0,2560.0,40,0.85,4.0,0.005,1.0,ok,1.2868722786372282e-05,2.6061814708970863e-06,9.45945337808759e-06,0.512378258138755,1.629601000000548,2.9604994867585663
tg220_mu12_g1280_ns40,220.0,12.0,1280.0,40,0.85,4.0,0.005,1.0,ok,2.1185342152964484e-05,1.4771084343265296e-06,6.090915003506807e-06,0.512375939998032,1.8019329000017024,3.003350966965379
tg220_mu12_g1280_ns80,220.0,12.0,1280.0,80,0.85,4.0,0.005,1.0,ok,2.1287087692100615e-05,1.4748725986715546e-06,6.088874956743016e-06,0.5123760481914938,2.8857335000029707,3.01159597757966
tg160_mu12_g2560_ns40,160.0,12.0,2560.0,40,0.85,4.0,0.005,1.0,ok,9.025002629518584e-06,2.525560395066669e-06,1.3390370830917433e-05,0.5123838405000817,1.6350453999984893,3.230681224922545
tg220_mu16_g1280_ns40,220.0,16.0,1280.0,40,0.85,4.0,0.005,1.0,ok,2.974846315736081e-05,1.4704966100267526e-06,2.904547858997276e-06,0.5123651396232503,1.6935892999972566,3.2494186484800336
tg220_mu16_g1280_ns80,220.0,16.0,1280.0,80,0.85,4.0,0.005,1.0,ok,2.989715770375687e-05,1.4716674272277825e-06,2.952315151299752e-06,0.5123652269119909,3.0328977999997733,3.270029962642622
tg220_mu8_g2560_ns80,220.0,8.0,2560.0,80,0.85,4.0,0.005,1.0,ok,4.306359526313364e-06,1.474118575152192e-06,1.7919375237201763e-05,0.5123894198763864,2.876702000001387,3.3858797158110683
tg160_mu8_g2560_ns80,160.0,8.0,2560.0,80,0.85,4.0,0.005,1.0,ok,5.9208974305266e-06,2.026710894286027e-06,1.783837657280233e-05,0.5123911813126992,2.753598700001021,3.5893374064395336
tg120_mu16_g2560_ns40,120.0,16.0,2560.0,40,0.85,4.0,0.005,1.0,ok,1.7156733750573772e-05,3.603348335147364e-06,1.0756295921701799e-05,0.5123757872796726,1.9360406000014336,3.6737001183974853
tg160_mu12_g1280_ns40,160.0,12.0,1280.0,40,0.85,4.0,0.005,1.0,ok,2.9130028341124438e-05,2.0270058378622136e-06,6.0753089880965915e-06,0.5123722925056252,1.6168700000016543,3.768540028614928
tg160_mu12_g1280_ns80,160.0,12.0,1280.0,80,0.85,4.0,0.005,1.0,ok,2.9269939096483737e-05,2.0266558600155036e-06,6.072031157119532e-06,0.512372433741233,2.83746759999849,3.780175475090091
tg120_mu12_g2560_ns40,120.0,12.0,2560.0,40,0.85,4.0,0.005,1.0,ok,1.203139169276882e-05,3.3797626680723077e-06,1.4695450313204029e-05,0.5123833591864054,1.9558625999998185,3.8139360531550683
tg120_mu8_g2560_ns80,120.0,8.0,2560.0,80,0.85,4.0,0.005,1.0,ok,7.893899732121937e-06,2.701795253567685e-06,1.7858084332793306e-05,0.5123932474409878,3.1211824999991222,3.856548218114531
tg220_mu8_g1280_ns40,220.0,8.0,1280.0,40,0.85,4.0,0.005,1.0,ok,1.3106297314024975e-05,1.4846688920537817e-06,1.7951604513986972e-05,0.5123861357034142,1.6623217999986082,4.159529636138858
tg220_mu8_g1280_ns80,220.0,8.0,1280.0,80,0.85,4.0,0.005,1.0,ok,1.3168011235788246e-05,1.4837565701027937e-06,1.7997640611831408e-05,0.5123862144739434,2.8023744000020088,4.172002522226133
tg160_mu16_g1280_ns40,160.0,16.0,1280.0,40,0.85,4.0,0.005,1.0,ok,4.090461530018506e-05,2.0152646609709358e-06,2.958489445995439e-06,0.5123571522961403,1.8131955999997444,4.304779016124606
tg220_mu16_g1280_ns20,220.0,16.0,1280.0,20,0.85,4.0,0.005,1.0,ok,2.9281329277840898e-05,2.2965381758671936e-06,9.238241595872035e-06,0.5123649084682417,1.0236834000024828,4.314378011461327
