case_id,task_gain,mu_gain,gamma,substeps,activation_power,activation_exp_clip,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,max_drift_norm,runtime_s,composite_score
tg220_mu16_g3072_ns100,220.0,16.0,3072.0,100,0.8,4.0,ok,4.0678516539118686e-06,1.33926354256525e-06,1.6376844698578444e-06,0.5123564918620351,3.566893600000185,1.8055779584066594
tg260_mu16_g2560_ns80,260.0,16.0,2560.0,80,0.8,4.0,ok,5.1234177503360884e-06,1.5048730587088961e-06,1.3814104633609294e-06,0.5123542973691675,2.7630568999993557,1.833584311346771
tg180_mu16_g3072_ns100,180.0,16.0,3072.0,100,0.8,4.0,ok,4.97149754940252e-06,1.6707495425003234e-06,1.4261275918358206e-06,0.512357480517905,3.4068514999999024,1.8687035519722208
tg260_mu16_g3072_ns100,260.0,16.0,3072.0,100,0.8,4.0,ok,3.4421062310270965e-06,1.1009088658402755e-06,2.002301848769932e-06,0.5123557819781532,3.5946874000001117,1.8907316515495098
tg260_mu20_g3072_ns100,260.0,20.0,3072.0,100,0.8,4.0,ok,4.590089688503627e-06,1.3027878786851682e-06,1.6766292110725536e-06,0.5123544854180169,3.3298095999998623,1.8970555748463365
tg220_mu20_g3072_ns100,220.0,20.0,3072.0,100,0.8,4.0,ok,5.425074564264266e-06,1.510470196535861e-06,1.453479910096635e-06,0.512354948857603,3.3483043999985966,1.9209205328831578
tg220_mu16_g2560_ns100,220.0,16.0,2560.0,100,0.8,4.0,ok,6.057771726282209e-06,1.4228234948302202e-06,1.3489826886195216e-06,0.512354219645968,3.542866200001299,1.9331267726327115
tg260_mu16_g2560_ns100,260.0,16.0,2560.0,100,0.8,4.0,ok,5.126122100067452e-06,1.2025526537924656e-06,1.6427371750613498e-06,0.5123538930637735,3.314140900001803,1.9353595779056125
tg220_mu16_g2560_ns80,220.0,16.0,2560.0,80,0.8,4.0,ok,6.054336175311997e-06,1.7091857069715704e-06,1.3229608656978125e-06,0.5123547509704601,2.7372546999977203,1.9690928278684847
tg260_mu20_g2560_ns100,260.0,20.0,2560.0,100,0.8,4.0,ok,6.869582066021292e-06,1.194965602583433e-06,1.3582769840182467e-06,0.5123517689832978,3.341305599999032,2.013581972116384
tg220_mu20_g2560_ns100,220.0,20.0,2560.0,100,0.8,4.0,ok,8.118454358167668e-06,1.418611096220185e-06,1.0157220965934291e-06,0.5123516588453612,3.2924400999982026,2.028214379152023
tg260_mu20_g3072_ns80,260.0,20.0,3072.0,80,0.8,4.0,ok,4.6285895139028545e-06,1.683542061472355e-06,1.8080563994351655e-06,0.5123558235613237,2.735637300000235,2.0503532880424133
tg180_mu16_g2560_ns100,180.0,16.0,2560.0,100,0.8,4.0,ok,7.4037597750524055e-06,1.739088629117011e-06,1.1994420706293798e-06,0.5123546476762558,3.4319180000020424,2.0939463427332266
tg180_mu20_g3072_ns100,180.0,20.0,3072.0,100,0.8,4.0,ok,6.629886768264089e-06,1.8107486674610918e-06,1.3998394429071317e-06,0.5123555688804844,3.6849425000000338,2.1159743149040953
tg260_mu16_g3072_ns80,260.0,16.0,3072.0,80,0.8,4.0,ok,3.493809036319123e-06,1.6872103180495367e-06,2.2176240287788892e-06,0.5123569863621761,2.9073224999992817,2.1334429586750163
tg260_mu12_g2560_ns100,260.0,12.0,2560.0,100,0.8,4.0,ok,3.554682049658354e-06,1.204145349086488e-06,2.425262227855628e-06,0.5123556934400705,3.285302000000229,2.178602044656645
tg260_mu16_g2048_ns100,260.0,16.0,2048.0,100,0.8,4.0,ok,8.042603027695416e-06,1.2413503018529267e-06,1.353979548983254e-06,0.5123508904217131,3.3102693000000727,2.187471338759596
tg220_mu12_g2560_ns100,220.0,12.0,2560.0,100,0.8,4.0,ok,4.201303596108814e-06,1.4230680469758164e-06,2.2209784971314907e-06,0.5123563474458415,3.432607700000517,2.1888105451642756
tg260_mu12_g2048_ns100,260.0,12.0,2048.0,100,0.8,4.0,ok,5.538543309740139e-06,1.2428277647016405e-06,2.005035393741493e-06,0.5123538750453546,3.3565278999994916,2.2184597932212915
