case_id,task_gain,position_weight,drift_weight,gamma,activation_power,activation_exp_clip,tau,substeps,regularization_gain,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,max_drift_norm,runtime_s,composite_score
tg180_pw8e03_dw0p001_g80,180.0,8000.0,0.001,80.0,0.9,2.0,0.005,1,1e-09,ok,1.0056947430124214e-06,1.1643832115259685e-06,1.0764779622642043e-06,0.5123560381806052,0.7385519999988901,1.052103376069483
tg180_pw1p2e04_dw0p001_g80,180.0,12000.0,0.001,80.0,0.9,2.0,0.005,1,1e-09,ok,1.0165810617438867e-06,1.1643833356473284e-06,1.0764776759882024e-06,0.5123563247988294,0.6155599000012444,1.0556583212902821
tg180_pw8e03_dw0p0005_g80,180.0,8000.0,0.0005,80.0,0.9,2.0,0.005,1,1e-09,ok,1.022239131485931e-06,1.1643833977361826e-06,1.0764776042551827e-06,0.5123564681081241,0.740250399998331,1.0575060048788365
tg180_pw1p8e04_dw0p001_g80,180.0,18000.0,0.001,80.0,0.9,2.0,0.005,1,1e-09,ok,1.0241564164568508e-06,1.1643834183587077e-06,1.076477485605011e-06,0.5123565158779088,0.6032493999991857,1.058132068614128
tg180_pw1p2e04_dw0p0005_g80,180.0,12000.0,0.0005,80.0,0.9,2.0,0.005,1,1e-09,ok,1.0280373745100695e-06,1.1643834597139358e-06,1.0764774603452544e-06,0.5123566114175327,0.6081193999998504,1.059399433249376
tg180_pw1p8e04_dw0p0005_g80,180.0,18000.0,0.0005,80.0,0.9,2.0,0.005,1,1e-09,ok,1.0319796229865376e-06,1.1643835010697222e-06,1.0764773656802307e-06,0.5123567069571899,0.6218163000012282,1.0606867838689136
tg180_pw8e03_dw0p0001_g80,180.0,8000.0,0.0001,80.0,0.9,2.0,0.005,1,1e-09,ok,1.0363860995378187e-06,1.1643835470369272e-06,1.076477834180493e-06,0.5123568120509251,0.5983286999980919,1.062125969290083
tg180_pw1p2e04_dw0p0001_g80,180.0,12000.0,0.0001,80.0,0.9,2.0,0.005,1,1e-09,ok,1.0376004891091904e-06,1.1643835588222762e-06,1.076477806690456e-06,0.512356840712874,0.6117215000012948,1.062522531568227
tg180_pw1p8e04_dw0p0001_g80,180.0,18000.0,0.0001,80.0,0.9,2.0,0.005,1,1e-09,ok,1.0384130626033935e-06,1.1643835672169175e-06,1.0764777854235332e-06,0.512356859820717,0.7060351000000082,1.062787878612116
tg198_pw8e03_dw0p001_g80,198.0,8000.0,0.001,80.0,0.9,2.0,0.005,1,1e-09,ok,9.60226033226384e-07,1.1117242451399644e-06,1.193824960866446e-06,0.5123558298482831,0.6155842000007397,1.0739324262583694
tg198_pw1p2e04_dw0p001_g80,198.0,12000.0,0.001,80.0,0.9,2.0,0.005,1,1e-09,ok,9.706200335689673e-07,1.111724359865861e-06,1.193824693067296e-06,0.5123561035066039,0.7184008000003814,1.0773266055254154
tg198_pw8e03_dw0p0005_g80,198.0,8000.0,0.0005,80.0,0.9,2.0,0.005,1,1e-09,ok,9.76022223146328e-07,1.1117244170056646e-06,1.1938246230427864e-06,0.5123562403359136,0.6211406000002171,1.0790907284507174
tg198_pw1p8e04_dw0p001_g80,198.0,18000.0,0.001,80.0,0.9,2.0,0.005,1,1e-09,ok,9.778528047915384e-07,1.111724436126849e-06,1.1938245154475927e-06,0.512356285945715,0.6588111000019126,1.0796884826205875
tg198_pw1p2e04_dw0p0005_g80,198.0,12000.0,0.0005,80.0,0.9,2.0,0.005,1,1e-09,ok,9.81558253344487e-07,1.1117244742014864e-06,1.1938244899777269e-06,0.5123563771653441,0.6281100999985938,1.080898532022992
tg198_pw1p8e04_dw0p0005_g80,198.0,18000.0,0.0005,80.0,0.9,2.0,0.005,1,1e-09,ok,9.853222117928037e-07,1.1117245123876606e-06,1.1938243996951358e-06,0.5123564683850277,0.690347899999324,1.0821276613465418
tg198_pw8e03_dw0p0001_g80,198.0,8000.0,0.0001,80.0,0.9,2.0,0.005,1,1e-09,ok,9.89529401563822e-07,1.1117245551869812e-06,1.1938248172045348e-06,0.5123565687266737,0.6283814999987953,1.0835017456260676
tg198_pw1p2e04_dw0p0001_g80,198.0,12000.0,0.0001,80.0,0.9,2.0,0.005,1,1e-09,ok,9.906888933675205e-07,1.1117245653606661e-06,1.1938247921451362e-06,0.512356596092659,0.6685627000006207,1.0838803811291196
tg198_pw1p8e04_dw0p0001_g80,198.0,18000.0,0.0001,80.0,0.9,2.0,0.005,1,1e-09,ok,9.914647086165286e-07,1.111724574586467e-06,1.1938247694067428e-06,0.5123566143366014,0.6985075999982655,1.0841337239824766
tg216_pw8e03_dw0p001_g80,216.0,8000.0,0.001,80.0,0.9,2.0,0.005,1,1e-09,ok,9.186674559603496e-07,1.0636220409788137e-06,1.3016172299877072e-06,0.5123556395432525,0.6562623000027088,1.094115252367006
tg216_pw1p2e04_dw0p001_g80,216.0,12000.0,0.001,80.0,0.9,2.0,0.005,1,1e-09,ok,9.286107062508114e-07,1.0636221465889983e-06,1.3016169808765636e-06,0.5123559013629467,0.6534500000016124,1.0973622403883647
tg216_pw8e03_dw0p0005_g80,216.0,8000.0,0.0005,80.0,0.9,2.0,0.005,1,1e-09,ok,9.33778653622935e-07,1.0636221993348353e-06,1.301616914283656e-06,0.5123560322729472,0.6590986000010162,1.0990498695921795
tg216_pw1p8e04_dw0p001_g80,216.0,18000.0,0.001,80.0,0.9,2.0,0.005,1,1e-09,ok,9.355298549757001e-07,1.06362221689677e-06,1.3016168138607113e-06,0.5123560759096306,0.6170193000034487,1.0996217039693081
tg216_pw1p2e04_dw0p0005_g80,216.0,12000.0,0.0005,80.0,0.9,2.0,0.005,1,1e-09,ok,9.39074667697847e-07,1.0636222522520881e-06,1.3016167894874045e-06,0.5123561631830431,0.6440598999979557,1.1007792959618028
tg216_pw1p8e04_dw0p0005_g80,216.0,18000.0,0.0005,80.0,0.9,2.0,0.005,1,1e-09,ok,9.426754125850097e-07,1.0636222872122069e-06,1.3016167086429745e-06,0.5123562504565037,0.6415983000006236,1.1019551294598782
tg216_pw8e03_dw0p0001_g80,216.0,8000.0,0.0001,80.0,0.9,2.0,0.005,1,1e-09,ok,9.467001702445526e-07,1.0636223265665627e-06,1.3016170876987177e-06,0.5123563464573333,0.6521156999988307,1.1032696218333888
tg216_pw1p2e04_dw0p0001_g80,216.0,12000.0,0.0001,80.0,0.9,2.0,0.005,1,1e-09,ok,9.478094155755349e-07,1.0636223361171042e-06,1.3016170669263237e-06,0.5123563726394114,0.6419830999984697,1.1036318504963702
tg216_pw1p8e04_dw0p0001_g80,216.0,18000.0,0.0001,80.0,0.9,2.0,0.005,1,1e-09,ok,9.485514879112575e-07,1.0636223437825197e-06,1.3016170454514817e-06,0.5123563900939372,0.7101140000013402,1.1038741744270366
tg216_pw8e03_dw0p001_g40,216.0,8000.0,0.001,40.0,0.9,2.0,0.005,1,1e-09,ok,2.792880897074282e-06,3.1975108977443335e-06,3.683508586953847e-06,0.512365350234342,0.6626193999982206,3.2034225432338825
tg216_pw1p2e04_dw0p001_g40,216.0,12000.0,0.001,40.0,0.9,2.0,0.005,1,1e-09,ok,2.803736793483545e-06,3.1975110107394557e-06,3.6835089012480015e-06,0.5123656120545063,0.7018580000003567,3.2069678021838737
tg216_pw8e03_dw0p0005_g40,216.0,8000.0,0.0005,40.0,0.9,2.0,0.005,1,1e-09,ok,2.809226900988148e-06,3.1975110672095126e-06,3.6835091556315815e-06,0.5123657429647328,0.6581874000003154,3.2087607710381874
tg216_pw1p8e04_dw0p001_g40,216.0,18000.0,0.001,40.0,0.9,2.0,0.005,1,1e-09,ok,2.811066087917857e-06,3.1975110860326837e-06,3.683509110083932e-06,0.5123657866014981,0.6230307000005268,3.209361361217045
tg216_pw1p2e04_dw0p0005_g40,216.0,12000.0,0.0005,40.0,0.9,2.0,0.005,1,1e-09,ok,2.814758136974133e-06,3.1975111238459713e-06,3.6835093126515287e-06,0.512365873875059,0.6690879999987374,3.2105671301455705
tg216_pw1p8e04_dw0p0005_g40,216.0,18000.0,0.0005,40.0,0.9,2.0,0.005,1,1e-09,ok,2.818468362680209e-06,3.197511161548281e-06,3.6835094188393796e-06,0.5123659611486546,0.6326781999996456,3.211778794524251
tg216_pw8e03_dw0p0001_g40,216.0,8000.0,0.0001,40.0,0.9,2.0,0.005,1,1e-09,ok,2.8225705239240924e-06,3.19751120247062e-06,3.6835103107375348e-06,0.5123660571496829,0.7043594999995548,3.2131187785606623
tg216_pw1p2e04_dw0p0001_g40,216.0,12000.0,0.0001,40.0,0.9,2.0,0.005,1,1e-09,ok,2.8236930861475594e-06,3.1975112135754e-06,3.6835103421618168e-06,0.5123660833317877,0.6620036999993317,3.2134853781725115
tg216_pw1p8e04_dw0p0001_g40,216.0,18000.0,0.0001,40.0,0.9,2.0,0.005,1,1e-09,ok,2.8244423618159966e-06,3.1975112216832204e-06,3.683510363757849e-06,0.5123661007864915,0.685304200000246,3.2137300725320705
