step,time_s,cycle_period_s,cycle_work_s,state_read_s,state_age_s,controller_step_s,publish_s,sleep_s,command_step_norm_rad,command_step_max_abs_rad,command_velocity_norm_rad_s,command_accel_norm_rad_s2,feedback_velocity_norm_rad_s,tcp_pose_used,tcp_pose_age_s,tcp_fk_error_norm_m,deadline_miss,period_overrun
0,0.0,nan,0.0011928679996344727,6.612000106542837e-06,0.00018241399993712548,0.0009043940003721218,1.8294000255991705e-05,0.003874902999996266,4.077198670657491e-06,2.4652342840436603e-06,0.0008154397341314982,0.0,9.45104393477789e-32,False,nan,nan,False,False
1,0.005,0.0051129959997524566,0.0009011279998958344,4.058000286022434e-06,0.0008163580000655202,0.0006200479997460207,3.071799983445089e-05,0.004067927000050986,1.8191242946476266e-05,1.2038611179709946e-05,0.003638248589295253,0.885245626757021,2.8777553139447783e-36,False,nan,nan,False,False
2,0.01,0.0050130980002904835,0.0009551899997859437,3.7470003917405847e-06,0.0019116429998575768,0.000716779999947903,3.1199000204651384e-05,0.004001109999990149,1.1060446257619549e-05,7.400446934813232e-06,0.0022120892515239098,0.2860312463816152,1.5879648722381402e-38,False,nan,nan,False,False
3,0.015,0.0049975479996646754,0.0008402630001000944,3.988000116805779e-06,0.0007205580000118061,0.0005974860000605986,3.0487999993056292e-05,0.004119452999930218,1.0916191250370924e-05,7.31047931079587e-06,0.0021832382500741854,0.005802683586397217,4.9586767848137274e-40,False,nan,nan,False,False
4,0.02,0.004998460000024352,0.0008258759999080212,3.7670001802325714e-06,0.00022852099982628715,0.0005849020003552141,2.870399976018234e-05,0.004125895000015589,7.718468567403095e-06,5.212077797134285e-06,0.0015436937134806188,0.14349562139145808,2.7367359008263677e-42,False,nan,nan,False,False
5,0.025,0.004972490999989532,0.0003896339999300835,1.8730002011579927e-06,0.0002957169999717735,0.0002771720000964706,1.4136999652691884e-05,0.004583598000408529,1.5042449611000243e-05,9.638503700060141e-06,0.0030084899222000494,0.9096446324686086,8.547920632381384e-44,False,nan,nan,False,False
6,0.03,0.005014208999909897,0.0008380090002901852,3.50600021192804e-06,8.318699974552146e-05,0.0006105109996497049,2.8693999865936348e-05,0.004135583999868686,1.345350902422062e-05,8.61991600276113e-06,0.0026907018048441243,0.06388146950136822,0.0,False,nan,nan,False,False
7,0.035,0.0050113040001633635,0.0008046460002333333,3.3159999475174118e-06,0.00121707400012383,0.0005763059998571407,2.8032999580318574e-05,0.004183223999916663,6.651193088422817e-06,3.8348407611632496e-06,0.0013302386176845633,0.2857825384329609,0.0,False,nan,nan,False,False
8,0.04,0.005029328000091482,0.0008215779998863582,3.3159999475174118e-06,7.416900007228833e-05,0.0005885789996682433,3.2761999591457425e-05,0.004108974000246235,4.854053077965301e-06,3.064720907938678e-06,0.0009708106155930602,0.09704784018362936,0.0,False,nan,nan,False,False
9,0.045,0.004971539000052871,0.0007941869998830953,3.626999841799261e-06,0.001129367999965325,0.0005725989999518788,3.161899985570926e-05,0.00416414800019993,4.5455357562016e-06,3.8097660172914143e-06,0.00090910715124032,0.08594740303389407,0.0,False,nan,nan,False,False
10,0.05,0.005020862000037596,0.0008960589998423529,5.110000074637355e-06,0.002261410999835789,0.0006646130000262929,2.9385999823716702e-05,0.004042599000058544,1.0346785682504134e-05,7.046110741148165e-06,0.002069357136500827,0.5818679694634694,0.0,False,nan,nan,False,False
11,0.055,0.00497790100007478,0.0008265980000032869,3.4469999263819773e-06,0.0011040510003113013,0.000590291999742476,2.91549999928975e-05,0.004132627999752003,9.19156876974213e-06,6.1602111261212196e-06,0.0018383137539484263,0.0469525340682194,0.0,False,nan,nan,False,False
